lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_free,705,352,0.4993,0.4819,0.938,0.9206,0.9543,0.9238,0.8906,0.9493,0.9375,0.9091,0.9602,0.7904,0.7479,0.8301,0.8168,0.7872,0.8473,0.9269,0.8973,0.9525
20yr,internal_sens90,705,352,0.4993,0.5285,0.938,0.9206,0.9543,0.9238,0.8906,0.9493,0.9006,0.8693,0.929,0.813,0.7734,0.8527,0.8277,0.7975,0.8587,0.8913,0.8594,0.9221
20yr,internal_sens93,705,352,0.4993,0.4994,0.938,0.9206,0.9543,0.9238,0.8906,0.9493,0.9318,0.9034,0.9574,0.7932,0.7507,0.8329,0.818,0.7885,0.8479,0.9211,0.8923,0.9483
20yr,internal_sens95,705,352,0.4993,0.4093,0.938,0.9206,0.9543,0.9238,0.8906,0.9493,0.9517,0.929,0.9716,0.745,0.6969,0.7904,0.7882,0.7585,0.8202,0.9393,0.9132,0.963
