lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_free,610,305,0.5,0.4339,0.9556,0.9396,0.9691,0.9566,0.9412,0.9701,0.9115,0.8754,0.941,0.859,0.8164,0.8952,0.866,0.8323,0.8974,0.9066,0.8721,0.9357
lifetime,internal_sens90,610,305,0.5,0.4477,0.9556,0.9396,0.9691,0.9566,0.9412,0.9701,0.9016,0.8656,0.9344,0.8623,0.823,0.8984,0.8675,0.8348,0.899,0.8976,0.8647,0.9273
lifetime,internal_sens93,610,305,0.5,0.315,0.9556,0.9396,0.9691,0.9566,0.9412,0.9701,0.9311,0.9016,0.9574,0.8295,0.7836,0.8689,0.8452,0.8106,0.8778,0.9234,0.8934,0.9517
lifetime,internal_sens95,610,305,0.5,0.2301,0.9556,0.9396,0.9691,0.9566,0.9412,0.9701,0.9508,0.9246,0.9738,0.8098,0.7639,0.8525,0.8333,0.7995,0.8657,0.9427,0.9163,0.9689
