code_id,code_type,category,term,combined_score,combined_rank,code_tier,category_model_tier
521818,icd10cm,Lifestyle - SDOH,Other obesity due to excess calories,0.1270733861309728,638.0,MEDIUM,MEDIUM
1058862,rxnorm,Medication - Statins (Lipid Lowering),pravastatin sodium 40 MG Oral Tablet,0.1257813608690461,646.0,MEDIUM,MEDIUM
355946,snomed,Vital Signs / Anthropometrics,Current chronological age,0.1255196137438847,648.0,MEDIUM,MEDIUM
772513,loinc,Lab - Lipid Panel,Cholesterol in LDL [Mass/volume] in Serum or Plasma,0.1224775703399419,666.0,MEDIUM,STRONG
1096745,rxnorm,Medication - Supplements / Vitamins,calcium carbonate / vitamin D Oral Product,0.114022519909813,698.0,MEDIUM,MEDIUM
1008491,rxnorm,Medication - Hormone Therapy (HRT),"estrogens, conjugated (USP) Oral Tablet",0.1140008673601146,699.0,MEDIUM,ZERO
4045002,snomed,Comorbidity - Benign Breast,Fibrosclerosis of right breast,0.1110874388193593,730.0,MEDIUM,ZERO
990285,rxnorm,Medication - GI / Acid Suppression,lansoprazole 30 MG Delayed Release Oral Capsule,0.1092416090303583,751.0,MEDIUM,MEDIUM
958587,rxnorm,Medication - Supplements / Vitamins,vitamin E Oral Capsule,0.108794171974947,753.0,MEDIUM,MEDIUM
105058,snomed,Symptoms - Breast Lump,Breast finding,0.1083781269262558,754.0,MEDIUM,MEDIUM
71418,snomed,Comorbidity - Benign Breast,Cellulitis of breast,0.1078515127967663,810.0,MEDIUM,ZERO
458640,snomed,Comorbidity - Benign Breast,Intraductal papilloma of left breast,0.1078515127967663,773.0,MEDIUM,ZERO
4045003,snomed,Comorbidity - Benign Breast,Fibrosclerosis of left breast,0.1078515127967663,780.0,MEDIUM,ZERO
312598,snomed,Comorbidity - Atypical Hyperplasia,Atypical hyperplasia of breast,0.1078515127967663,757.0,MEDIUM,ZERO
265073,snomed,Lifestyle - SDOH,Finding relating to sexual activity,0.10539959156552,819.0,MEDIUM,MEDIUM
230662,snomed,Symptoms - Breast Lump,Ptotic breast,0.1043267440393737,919.0,MEDIUM,MEDIUM
907591,rxnorm,Medication - Supplements / Vitamins,Metamucil Oral Product,0.103688171185314,924.0,MEDIUM,MEDIUM
986178,rxnorm,Medication - Statins (Lipid Lowering),simvastatin 10 MG Oral Tablet,0.1033235040277734,925.0,MEDIUM,MEDIUM
338201,snomed,Comorbidity - Mental Health,Level of depression,0.103004229714659,927.0,MEDIUM,STRONG
83974,snomed,Symptoms - Breast Lump,Breast lump,0.1010420390681343,931.0,MEDIUM,MEDIUM
950960,rxnorm,Medication - Antihypertensives,atenolol 25 MG Oral Tablet,0.0992708440085094,936.0,LOW,MEDIUM
5450021,truveta,Lifestyle - Social Determinants of Health,"Are you currently in a relationship where you feel hurt, threatened, or afraid?",0.0985280069463531,938.0,LOW,MEDIUM
782600,loinc,Lifestyle - Alcohol Use,History of Alcohol use,0.0969651513155746,940.0,LOW,MEDIUM
1001279,rxnorm,Medication - Antihypertensives,hydrochlorothiazide / valsartan Oral Tablet,0.095686516965421,944.0,LOW,MEDIUM
286574,snomed,Lifestyle - Substance Use,Illicit medication use,0.0954628122628617,945.0,LOW,MEDIUM
1058868,rxnorm,Medication - Statins (Lipid Lowering),pravastatin sodium 80 MG Oral Tablet,0.0945221825181895,948.0,LOW,MEDIUM
1135684,rxnorm,Medication - Supplements / Vitamins,Magnesium 250 MG Oral Tablet,0.0943848933014784,949.0,LOW,MEDIUM
952793,rxnorm,Medication - Pain (Non-Opioid),indomethacin 50 MG Oral Capsule,0.0942951209499345,951.0,LOW,ZERO
1050078,rxnorm,Medication - Cardiac,warfarin sodium 2.5 MG Oral Tablet,0.092944249919249,954.0,LOW,MEDIUM
1050253,rxnorm,Medication - Cardiac,warfarin sodium 4 MG Oral Tablet,0.0926707986395313,955.0,LOW,MEDIUM
5450038,truveta,Lifestyle - Tobacco Use,Pipe smoker,0.0914692133271048,958.0,LOW,MEDIUM
210778,snomed,Lifestyle - Tobacco Use,Snuff user,0.0914692133271048,962.0,LOW,MEDIUM
76941,snomed,Lifestyle - Tobacco Use,Chews tobacco,0.0914692133271048,960.0,LOW,MEDIUM
857584,loinc,Lifestyle - Tobacco Use,Smokeless tobacco status,0.0914692133271048,961.0,LOW,MEDIUM
56481,snomed,Lifestyle - Tobacco Use,Cigar smoker,0.0914692133271048,959.0,LOW,MEDIUM
782636,loinc,Lifestyle - Tobacco Use,History of Tobacco use,0.0912592462114795,963.0,LOW,MEDIUM
918368,rxnorm,Medication - Respiratory (Chronic),albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],0.0900591316337745,968.0,LOW,MEDIUM
210672,snomed,Lifestyle - Substance Use,Intravenous drug user,0.0898046832247585,969.0,LOW,MEDIUM
983836,rxnorm,Medication - Statins (Lipid Lowering),gemfibrozil 600 MG Oral Tablet,0.0889033773503609,972.0,LOW,MEDIUM
61752,snomed,Lifestyle - Tobacco Use,Cigarette smoker,0.0877176392907435,974.0,LOW,MEDIUM
1047165,rxnorm,Medication - Pain (Non-Opioid),naproxen sodium 220 MG Oral Tablet,0.0874899379952004,975.0,LOW,ZERO
1053194,rxnorm,Medication - Diabetes,metformin hydrochloride 1000 MG Oral Tablet,0.0842754126783012,978.0,LOW,LOW
1003088,rxnorm,Medication - Supplements / Vitamins,vitamin B12 Oral Tablet,0.0839762545112083,979.0,LOW,MEDIUM
1058739,rxnorm,Medication - Statins (Lipid Lowering),pravastatin sodium 20 MG Oral Tablet,0.0833963212909707,982.0,LOW,MEDIUM
833950,loinc,Lifestyle - Social Determinants of Health,About how long did you work at that job or business,0.0827060817724784,986.0,LOW,MEDIUM
1061101,rxnorm,Medication - Antihypertensives,losartan potassium 100 MG Oral Tablet,0.0825675866471961,987.0,LOW,MEDIUM
5450035,truveta,Lifestyle - Alcohol Use,Alcohol intake per week [oz],0.0824421911327059,988.0,LOW,MEDIUM
1048979,rxnorm,Medication - Mental Health / Sleep,zolpidem tartrate 10 MG Oral Tablet,0.0820025027062838,989.0,LOW,MEDIUM
842116,loinc,Lifestyle - Tobacco Use,Tobacco smoking status,0.0817974303535937,991.0,LOW,MEDIUM
270038,snomed,Symptoms - Breast Lump,Breast problem,0.0815689652198567,992.0,LOW,MEDIUM
981610,rxnorm,Medication - Supplements / Vitamins,ubidecarenone 100 MG Oral Capsule,0.0801235692236808,997.0,LOW,MEDIUM
1010934,rxnorm,Medication - GI / Acid Suppression,omeprazole 20 MG Delayed Release Oral Tablet,0.0792278677840386,999.0,LOW,MEDIUM
49599,snomed,Comorbidity - Respiratory / ENT,Respiratory sounds,0.079177805141968,1000.0,LOW,MEDIUM
40549,snomed,Comorbidity - Respiratory / ENT,Abnormal posture,0.0791758625794816,1001.0,LOW,MEDIUM
1135650,rxnorm,Medication - Supplements / Vitamins,Multivitamin preparation Oral Tablet,0.0788908215818812,1002.0,LOW,MEDIUM
1002374,rxnorm,Medication - Supplements / Vitamins,cholecalciferol Oral Capsule,0.0762828677269155,1010.0,LOW,MEDIUM
954197,rxnorm,Medication - GI / Acid Suppression,omeprazole 20 MG Delayed Release Oral Capsule,0.076203256920504,1011.0,LOW,MEDIUM
1006573,rxnorm,Medication - Antihypertensives,hydrochlorothiazide / losartan Oral Tablet,0.0759109948641998,1013.0,LOW,MEDIUM
953032,rxnorm,Medication - Antihypertensives,lisinopril 40 MG Oral Tablet,0.0756549905230538,1014.0,LOW,MEDIUM
206471,snomed,Lifestyle - Social Determinants of Health,Financial circumstances,0.0744739225379734,1019.0,LOW,MEDIUM
1050068,rxnorm,Medication - Cardiac,warfarin sodium 2 MG Oral Tablet,0.0734700131657693,1022.0,LOW,MEDIUM
998031,rxnorm,Medication - Antibiotics,nitrofurantoin Oral Capsule [Macrobid],0.0734035312710376,1023.0,LOW,MEDIUM
2644026,cpt,General Imaging,"Radiologic examination, chest; single view, frontal",0.0732246253206105,1024.0,LOW,MEDIUM
852513,loinc,Lifestyle - Social Determinants of Health,Years of education [#] - Reported,0.0731777652959607,1025.0,LOW,MEDIUM
1053197,rxnorm,Medication - Diabetes,metformin hydrochloride 500 MG Oral Tablet,0.0726768071473925,1027.0,LOW,LOW
1045,snomed,Comorbidity - Cardiovascular,Benign essential hypertension,0.0713299702063174,1032.0,LOW,STRONG
1115472,rxnorm,Medication - Respiratory (Chronic),Albuterol / Ipratropium Inhalant Solution,0.0710071760066849,1035.0,LOW,MEDIUM
5450022,truveta,Lifestyle - Social Determinants of Health,Safe in relationship,0.0709827828858548,1036.0,LOW,MEDIUM
