lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
10yr,internal_free,705,352,0.4993,0.5344,0.9381,0.9208,0.9544,0.9261,0.8976,0.949,0.9062,0.8749,0.9375,0.8215,0.7819,0.8612,0.8351,0.8035,0.8665,0.8978,0.8668,0.9295
10yr,internal_sens90,705,352,0.4993,0.5371,0.9381,0.9208,0.9544,0.9261,0.8976,0.949,0.9006,0.8692,0.9318,0.8215,0.7819,0.8612,0.8342,0.803,0.8658,0.8923,0.8609,0.9233
10yr,internal_sens93,705,352,0.4993,0.4592,0.9381,0.9208,0.9544,0.9261,0.8976,0.949,0.9318,0.9033,0.9574,0.7875,0.7422,0.83,0.8139,0.7828,0.8446,0.9205,0.8889,0.9478
10yr,internal_sens95,705,352,0.4993,0.3948,0.9381,0.9208,0.9544,0.9261,0.8976,0.949,0.9517,0.929,0.9716,0.7564,0.7139,0.8017,0.7957,0.7669,0.8268,0.9401,0.9137,0.9642
