Code,Name,Category
394774009,Active problem,Active problem
397803000,Erectile dysfunction,Erectile dysfunction
398081001,Damp in house,Damp in house
399208008,Chest x-ray,X-ray - chest
404640003,Dizziness,Dizziness / vertigo
40733004,Infectious disease (disorder),Infection
40917007,Confusion,Confusion
418633004,Good compliance with medication,Medication adherence
418799008,Symptom,Symptom (non-specific)
422587007,Nausea,Nausea / vomiting
43396009,Haemoglobin A1c measurement,Blood test - HbA1c
44077006,Numbness,Numbness / paraesthesia
441456002,Polyp,Polyp
45326000,Shoulder pain,Shoulder pain
45710003,Sputum,Cough
4740000,Shingles,Shingles
48409008,Respiratory crackles,Respiratory crackles
48694002,Anxiousness - symptom,Anxiety
49158009,Emphysema,Emphysema
49218002,Hip pain,Hip pain
52685006,Administration of analgesic,Analgesic - other
52988006,Lesion,Lesion
55533009,Forgetful,Forgetful
56018004,Wheezing,Wheeze
59108006,Injection,Injection (therapeutic)
6142004,Influenza,Influenza
62315008,Diarrhoea,Diarrhoea
63476009,Prostate specific antigen measurement,Blood test - PSA
65124004,Swelling,Lump / swelling
65801008,Excision,Skin lesion removal
67889009,Irrigation,Irrigation
68130003,Physical activity,Physical activity assessment
69896004,Rheumatoid arthritis,Rheumatoid arthritis
714628002,Prediabetes,Prediabetes
726527001,Weight,Weight
73211009,Diabetes mellitus,Diabetes mellitus
74506000,Bereavement,Bereavement
75367002,Blood pressure,Blood pressure
786838002,Nodule of lung,Lump / swelling
80394007,Hyperglycaemia,Hyperglycaemia
81680005,Neck pain,Neck pain
84229001,Fatigue,Fatigue / malaise
84698008,Cholesterol,Blood test - lipids/cholesterol
8510008,Reduced mobility,Mobility
86273004,Biopsy,Biopsy (site unspecified)
89362005,Weight loss,Weight loss
90688005,Chronic renal failure,CKD
997671000000106,Blood glucose level,Blood test - glucose
27113001,Body weight,Weight
