lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_free,614,307,0.5,0.5351,0.9424,0.922,0.9601,0.9232,0.8888,0.953,0.9316,0.9023,0.9577,0.8339,0.7883,0.8762,0.8487,0.8137,0.882,0.9242,0.8945,0.9517
lifetime,internal_sens90,614,307,0.5,0.5881,0.9424,0.922,0.9601,0.9232,0.8888,0.953,0.9023,0.8664,0.9349,0.8371,0.7947,0.8762,0.8471,0.8123,0.8801,0.8955,0.8624,0.9261
lifetime,internal_sens93,614,307,0.5,0.5351,0.9424,0.922,0.9601,0.9232,0.8888,0.953,0.9316,0.9023,0.9577,0.8339,0.7883,0.8762,0.8487,0.8137,0.882,0.9242,0.8945,0.9517
lifetime,internal_sens95,614,307,0.5,0.441,0.9424,0.922,0.9601,0.9232,0.8888,0.953,0.9511,0.9251,0.9739,0.8111,0.7654,0.8534,0.8343,0.8017,0.8657,0.9432,0.9151,0.9685
