lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_sens90,3428,1714,0.5,0.4464,0.8227,0.8094,0.8362,0.7894,0.7715,0.8059,0.9002,0.8862,0.9154,0.6214,0.5974,0.6435,0.7039,0.6909,0.717,0.8617,0.8442,0.8811
20yr,internal_sens93,3428,1714,0.5,0.3639,0.8227,0.8094,0.8362,0.7894,0.7715,0.8059,0.9306,0.9183,0.9434,0.5665,0.5438,0.5898,0.6822,0.6707,0.6943,0.8908,0.8742,0.9093
20yr,internal_sens95,3428,1714,0.5,0.2912,0.8227,0.8094,0.8362,0.7894,0.7715,0.8059,0.9504,0.9405,0.9603,0.5356,0.5123,0.5584,0.6718,0.6603,0.6831,0.9153,0.899,0.9318
