lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
10yr,internal_free,707,353,0.4993,0.5026,0.9485,0.9317,0.9631,0.9429,0.9231,0.9606,0.9093,0.8754,0.9405,0.8559,0.822,0.8898,0.8629,0.8342,0.8932,0.9045,0.8743,0.9344
10yr,internal_sens90,707,353,0.4993,0.5279,0.9485,0.9317,0.9631,0.9429,0.9231,0.9606,0.9008,0.8669,0.932,0.8588,0.8248,0.8927,0.8641,0.8364,0.8939,0.8968,0.8652,0.927
10yr,internal_sens93,707,353,0.4993,0.3645,0.9485,0.9317,0.9631,0.9429,0.9231,0.9606,0.932,0.9037,0.9575,0.8136,0.774,0.8531,0.8329,0.8039,0.8652,0.9231,0.8931,0.95
10yr,internal_sens95,707,353,0.4993,0.2639,0.9485,0.9317,0.9631,0.9429,0.9231,0.9606,0.9518,0.9292,0.9717,0.7712,0.7288,0.8136,0.8058,0.7775,0.8378,0.9414,0.9147,0.9659
