lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_free,610,305,0.5,0.4234,0.9559,0.9396,0.9695,0.9569,0.9418,0.9706,0.9344,0.9049,0.9607,0.8689,0.8295,0.9049,0.8769,0.844,0.9077,0.9298,0.9014,0.9571
20yr,internal_sens90,610,305,0.5,0.5407,0.9559,0.9396,0.9695,0.9569,0.9418,0.9706,0.9016,0.8623,0.9344,0.8885,0.8492,0.9213,0.89,0.8567,0.9189,0.9003,0.8662,0.9303
20yr,internal_sens93,610,305,0.5,0.468,0.9559,0.9396,0.9695,0.9569,0.9418,0.9706,0.9311,0.9016,0.9574,0.8689,0.8295,0.9049,0.8765,0.8437,0.9073,0.9266,0.8961,0.9539
20yr,internal_sens95,610,305,0.5,0.326,0.9559,0.9396,0.9695,0.9569,0.9418,0.9706,0.9508,0.9246,0.977,0.8262,0.7803,0.8689,0.8455,0.8127,0.8784,0.9438,0.9154,0.9721
