lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_free,705,352,0.4993,0.5073,0.938,0.92,0.9541,0.9274,0.8985,0.95,0.9006,0.8664,0.929,0.8215,0.7819,0.8612,0.8342,0.8041,0.8654,0.8923,0.86,0.9223
lifetime,internal_sens90,705,352,0.4993,0.5073,0.938,0.92,0.9541,0.9274,0.8985,0.95,0.9006,0.8664,0.929,0.8215,0.7819,0.8612,0.8342,0.8041,0.8654,0.8923,0.86,0.9223
lifetime,internal_sens93,705,352,0.4993,0.4055,0.938,0.92,0.9541,0.9274,0.8985,0.95,0.9318,0.9034,0.9545,0.7734,0.728,0.8159,0.8039,0.7735,0.835,0.9192,0.8908,0.9459
lifetime,internal_sens95,705,352,0.4993,0.3656,0.938,0.92,0.9541,0.9274,0.8985,0.95,0.9517,0.929,0.9744,0.7479,0.7025,0.7904,0.7901,0.7609,0.82,0.9395,0.9132,0.9653
