lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_free,614,307,0.5,0.5747,0.9428,0.9222,0.9615,0.9198,0.8825,0.9513,0.9218,0.8893,0.9511,0.8697,0.8306,0.9055,0.8762,0.8434,0.9065,0.9175,0.8859,0.9476
20yr,internal_sens90,614,307,0.5,0.6295,0.9428,0.9222,0.9615,0.9198,0.8825,0.9513,0.9023,0.8664,0.9349,0.8795,0.8404,0.9153,0.8822,0.8498,0.9133,0.9,0.8684,0.9313
20yr,internal_sens93,614,307,0.5,0.5193,0.9428,0.9222,0.9615,0.9198,0.8825,0.9513,0.9316,0.9023,0.9577,0.8436,0.8013,0.8827,0.8563,0.8235,0.8882,0.925,0.8949,0.9534
20yr,internal_sens95,614,307,0.5,0.3564,0.9428,0.9222,0.9615,0.9198,0.8825,0.9513,0.9511,0.9251,0.9739,0.7785,0.7296,0.8241,0.8111,0.7781,0.8448,0.9409,0.9111,0.9671
