lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_free,2866,1433,0.5,0.5775,0.9471,0.9391,0.955,0.9366,0.9256,0.9471,0.9023,0.8863,0.917,0.8716,0.8535,0.8876,0.8754,0.8607,0.8896,0.8992,0.8847,0.9127
20yr,internal_sens90,2866,1433,0.5,0.5787,0.9471,0.9391,0.955,0.9366,0.9256,0.9471,0.9002,0.8842,0.9156,0.8716,0.8535,0.8876,0.8752,0.8605,0.8894,0.8973,0.8823,0.9115
20yr,internal_sens93,2866,1433,0.5,0.4643,0.9471,0.9391,0.955,0.9366,0.9256,0.9471,0.9302,0.9156,0.9428,0.8388,0.8193,0.8576,0.8523,0.8374,0.868,0.9232,0.909,0.9362
20yr,internal_sens95,2866,1433,0.5,0.3812,0.9471,0.9391,0.955,0.9366,0.9256,0.9471,0.9505,0.9379,0.9602,0.8102,0.7893,0.8311,0.8335,0.8183,0.8497,0.9424,0.9287,0.9537
