lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
5yr,internal_free,2866,1433,0.5,0.5394,0.9363,0.9272,0.9449,0.9207,0.9065,0.9332,0.8988,0.8835,0.9135,0.8451,0.8255,0.8639,0.853,0.8374,0.869,0.8931,0.8787,0.907
5yr,internal_sens90,2866,1433,0.5,0.5328,0.9363,0.9272,0.9449,0.9207,0.9065,0.9332,0.9002,0.8849,0.9142,0.8409,0.8207,0.8604,0.8498,0.8339,0.8658,0.8939,0.8793,0.9078
5yr,internal_sens93,2866,1433,0.5,0.4205,0.9363,0.9272,0.9449,0.9207,0.9065,0.9332,0.9302,0.9163,0.9442,0.8025,0.7816,0.8241,0.8249,0.8095,0.8411,0.92,0.9057,0.9348
5yr,internal_sens95,2866,1433,0.5,0.3488,0.9363,0.9272,0.9449,0.9207,0.9065,0.9332,0.9505,0.9386,0.9609,0.7823,0.7599,0.8039,0.8136,0.798,0.8287,0.9404,0.9268,0.9522
