lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_sens90,3428,1714,0.5,0.4493,0.824,0.8097,0.8367,0.7895,0.772,0.8057,0.9002,0.8862,0.9142,0.626,0.6033,0.6476,0.7065,0.6938,0.7192,0.8625,0.8449,0.88
lifetime,internal_sens93,3428,1714,0.5,0.3684,0.824,0.8097,0.8367,0.7895,0.772,0.8057,0.9306,0.9183,0.9422,0.5688,0.5461,0.5916,0.6834,0.6713,0.6954,0.8912,0.8743,0.9079
lifetime,internal_sens95,3428,1714,0.5,0.2849,0.824,0.8097,0.8367,0.7895,0.772,0.8057,0.9504,0.9405,0.9609,0.5292,0.5064,0.5513,0.6687,0.6578,0.6802,0.9143,0.8984,0.9319
