TERM,MED_CODE_ID,MEDIAN_DIAGNOSIS_AGE,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
"Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes",15507511000001109,67.000,66.000,9,5166,0.001742,9,1,6.222222,0.000,12.346839434
Warfarin 500microgram tablets,42217811000001100,78.000,77.000,8,5166,0.001549,25,3.13,5.600000,0.000,11.430952148
Locorten Vioform ear drops (Advanz Pharma),903511000001109,64.500,63.500,8,5166,0.001549,8,1,19.250000,14.000,21.083168642
Sando-K effervescent tablets (Stirling Anglian Pharmaceuticals Ltd),3402911000001104,80.000,79.500,8,5166,0.001549,8,1,25.625000,28.000,10.822430411
Cinchocaine 5mg / Hydrocortisone 5mg suppositories,3335211000001102,68.500,68.000,8,5166,0.001549,8,1,29.750000,28.000,4.949747468
Cefalexin 250mg tablets,39684111000001105,72.000,71.000,8,5166,0.001549,13,1.63,16.769231,28.000,12.768149474
Ramipril 5mg tablets,42381711000001108,67.000,67.000,8,5166,0.001549,11,1.38,25.454545,28.000,26.428634603
Colecalciferol 800unit capsules,19973811000001109,88.000,87.500,8,5166,0.001549,10,1.25,25.900000,28.000,6.640783086
Dermol 200 shower emollient (Dermal Laboratories Ltd),420611000001105,75.000,74.000,8,5166,0.001549,9,1.13,55.000000,28.000,113.313723794
Alverine 60mg capsules,42351411000001108,75.000,74.000,8,5166,0.001549,14,1.75,13.785714,16.500,13.092443928
Esomeprazole 20mg gastro-resistant tablets,42353711000001101,72.000,71.000,8,5166,0.001549,8,1,23.625000,28.000,17.120893668
Co-trimoxazole 160mg/800mg tablets,41947311000001100,75.500,74.500,8,5166,0.001549,8,1,12.875000,7.000,9.701803956
Co-codamol 30mg/500mg effervescent tablets,42009711000001109,66.000,65.000,8,5166,0.001549,9,1.13,23.111111,28.000,12.323194026
Metronidazole 0.75% gel,41742611000001101,70.000,70.000,8,5166,0.001549,11,1.38,22.909091,28.000,11.326557685
Nortriptyline 10mg tablets,39701411000001105,75.000,75.000,8,5166,0.001549,9,1.13,28.000000,28.000,0
Esomeprazole 20mg gastro-resistant capsules,17631311000001107,72.000,72.000,8,5166,0.001549,8,1,24.500000,28.000,9.899494937
Povidone-Iodine fabric dressing sterile 9.5cm x 9.5cm,3440711000001107,80.000,79.000,8,5166,0.001549,9,1.13,28.000000,28.000,0
Melatonin 2mg modified-release tablets,8025411000001104,87.500,87.000,8,5166,0.001549,10,1.25,30.600000,29.000,11.393955503
Calcipotriol 0.005% / Betamethasone dipropionate 0.05% gel,14679811000001106,75.000,74.000,8,5166,0.001549,10,1.25,19.600000,28.000,13.525284951
Peppermint oil 0.2ml gastro-resistant modified-release capsules,14610211000001108,73.000,73.000,8,5166,0.001549,8,1,29.625000,31.000,5.902481343
Varenicline 1mg tablets,39707011000001106,63.000,63.000,8,5166,0.001549,17,2.13,16.470588,14.000,11.32540092
Co-Codamol 30/500  Caplets,,62.000,62.000,8,5166,0.001549,11,1.38,16.454545,14.000,15.12192868
Pantoprazole 40mg gastro-resistant tablets,42357111000001105,64.000,64.000,8,5166,0.001549,19,2.38,14.736842,28.000,14.363696913
Anusol cream (Church & Dwight UK Ltd),911111000001104,74.000,73.000,8,5166,0.001549,13,1.63,15.076923,28.000,14.528486604
Gauze swab type 13 light BP 1988 8ply non-sterile 10cm x 10cm,3463011000001108,67.000,66.000,8,5166,0.001549,13,1.63,28.000000,28.000,0
Maxidex 0.1% eye drops (Novartis Pharmaceuticals UK Ltd),54011000001102,78.000,77.500,8,5166,0.001549,10,1.25,25.200000,28.000,8.854377448
Instillagel  Gel (11 Ml Syringe),,77.500,77.000,8,5166,0.001549,8,1,24.500000,28.000,9.899494937
Betamethasone 0.1% ear/eye/nose drops,42185411000001109,74.000,73.500,8,5166,0.001549,8,1,67.250000,28.000,121.005017607
Nurse It sterile dressing pack with medium/large gloves (Medicareplus International Ltd),13671311000001103,72.000,71.500,8,5166,0.001549,12,1.5,26.000000,28.000,6.92820323
Risedronate sodium 35mg tablets,42088511000001109,85.000,85.000,8,5166,0.001549,8,1,22.750000,28.000,14.849242405
CosmoCol Plain oral powder sachets (Stirling Anglian Pharmaceuticals Ltd),28751911000001106,71.000,70.000,8,5166,0.001549,9,1.13,28.444444,28.000,15.025903567
Oxycodone 5mg/5ml oral solution sugar free,36131211000001102,79.500,78.500,8,5166,0.001549,8,1,25.750000,28.000,6.363961031
Microlet lancets 0.5mm/28gauge (Ascensia Diabetes Care UK Ltd),653911000001106,69.000,69.000,8,5166,0.001549,9,1.13,31.111111,28.000,9.333333327
Able Spacer  Spacer device,,65.500,64.500,8,5166,0.001549,8,1,28.000000,28.000,0
Bd-Microfine +  Needles for insulin pens  5 mm/31 gauge,,67.000,66.000,8,5166,0.001549,11,1.38,20.363636,28.000,13.078782245
Monomil XL 60mg tablets (Teva UK Ltd),4633311000001103,72.500,72.000,8,5166,0.001549,18,2.25,3.111111,0.000,9.054663329
Prosys sterile drainable night drainage bag with lever tap P2000-LT 2litre (Clinisupplies Ltd),16622011000001103,69.500,69.500,8,5166,0.001549,10,1.25,28.000000,28.000,0
Xailin Night eye ointment preservative free (Visufarma UK Ltd),24268011000001101,75.000,74.500,8,5166,0.001549,8,1,28.000000,28.000,0
Edoxaban 60mg tablets,29903411000001101,85.000,84.500,8,5166,0.001549,10,1.25,30.800000,28.000,8.854377448
Pravastatin 40mg tablets,42380011000001102,64.000,63.000,8,5166,0.001549,18,2.25,28.000000,28.000,13.581994993
Fluticasone propionate 50micrograms/dose nasal spray,39110511000001107,70.000,70.000,8,5166,0.001549,9,1.13,30.888889,28.000,20.269709199
Clenil Modulite 200micrograms/dose inhaler (Chiesi Ltd),10619311000001107,75.000,75.000,8,5166,0.001549,9,1.13,53.777778,50.000,37.622392853
Tadalafil 10mg tablets,42090011000001102,72.000,72.000,8,5166,0.001549,10,1.25,14.800000,16.000,13.990472937
CosmoCol Lemon and Lime Flavour oral powder sachets (Stirling Anglian Pharmaceuticals Ltd),24580211000001104,81.000,81.000,8,5166,0.001549,9,1.13,28.000000,28.000,0
Otosporin ear drops (Phoenix Labs Ltd),423211000001103,65.500,64.500,8,5166,0.001549,8,1,11.625000,3.500,13.627047699
Gentamicin 0.3% / Hydrocortisone acetate 1% ear drops,42190111000001108,63.500,63.000,8,5166,0.001549,8,1,24.000000,28.000,18.165902125
Diethylamine salicylate 10% cream,14609011000001109,76.000,75.500,8,5166,0.001549,10,1.25,29.700000,14.500,55.583870565
Candesartan 2mg tablets,42371811000001107,74.500,73.500,8,5166,0.001549,8,1,24.500000,28.000,9.899494937
Lorazepam 1mg tablets,42131511000001102,74.500,74.000,8,5166,0.001549,12,1.5,21.333333,28.000,12.078029144
Sharpsafe  Container  1 litre,,65.000,64.500,8,5166,0.001549,8,1,22.750000,28.000,14.849242405
Nicotine 14mg/24hours transdermal patches,36565311000001108,65.500,64.500,7,5166,0.001355,8,1.14,10.500000,0.000,14.491376746
Nasonex 50micrograms/dose nasal spray (Organon Pharma (UK) Ltd),123711000001109,74.000,74.000,7,5166,0.001355,10,1.43,28.000000,28.000,19.798989873
Hydromol 2.5% cream (Alliance Pharmaceuticals Ltd),366111000001103,74.500,74.000,7,5166,0.001355,8,1.14,24.500000,28.000,9.899494937
Lidocaine 100mg/5ml (2%) solution for injection ampoules,3601911000001107,77.000,76.000,7,5166,0.001355,9,1.29,18.777778,28.000,13.836345038
Carmellose 0.5% eye drops,14743211000001100,82.000,81.000,7,5166,0.001355,7,1,21.714286,28.000,11.27998648
Tolterodine 1mg tablets,42043711000001100,85.000,84.000,7,5166,0.001355,7,1,28.000000,28.000,0
Cerumol ear drops (Thornton & Ross Ltd),76211000001104,75.000,75.000,7,5166,0.001355,7,1,12.000000,0.000,14.966629547
Brimonidine 0.2% eye drops,42185911000001101,79.000,79.000,7,5166,0.001355,7,1,28.000000,28.000,0
Gentamicin 0.3% ear/eye drops,42190211000001102,76.000,76.000,7,5166,0.001355,7,1,24.571429,28.000,9.071147336
Epaderm cream (Molnlycke Health Care Ltd),14998211000001108,77.500,77.000,7,5166,0.001355,8,1.14,28.000000,28.000,0
Clinitas Carbomer 0.2% eye gel (Altacor Ltd),18231811000001105,78.000,78.000,7,5166,0.001355,7,1,50.142857,28.000,58.584493315
Diclofenac sodium 25mg gastro-resistant tablets,36566511000001109,68.500,67.500,7,5166,0.001355,8,1.14,8.250000,0.000,12.668859459
Simple linctus sugar free,35924211000001103,63.000,62.000,7,5166,0.001355,7,1,22.000000,28.000,7.483314774
Sterile dressing pack specification 10,3137111000001109,63.000,62.000,7,5166,0.001355,10,1.43,20.600000,28.000,12.222020209
Enstilar 50micrograms/g / 0.5 mg/g cutaneous foam (LEO Pharma),32615311000001104,76.500,76.000,7,5166,0.001355,10,1.43,25.200000,28.000,8.854377448
"Sanofi Pasteur Msd Pneumococcal Polysaccharide  Vaccine, Solution For Injection  0.5 ml vial",,70.000,69.000,7,5166,0.001355,7,1,20.142857,28.000,13.421730775
AproDerm emollient cream (Fontus Health Ltd),28390111000001105,73.000,72.000,7,5166,0.001355,7,1,28.000000,28.000,0
Pioglitazone 30mg tablets,42086311000001102,74.500,74.000,7,5166,0.001355,8,1.14,17.500000,28.000,14.491376746
DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Teva UK Ltd),25254111000001105,72.000,72.000,7,5166,0.001355,10,1.43,31.800000,28.000,9.95322395
Fostair NEXThaler 100micrograms/dose / 6micrograms/dose dry powder inhaler (Chiesi Ltd),26112111000001106,77.000,76.500,7,5166,0.001355,8,1.14,31.625000,30.000,12.580455357
Glyceryl trinitrate 0.4% rectal ointment,9315411000001108,77.000,76.000,7,5166,0.001355,11,1.57,28.000000,28.000,0
Menthol 1% in Aqueous cream,10901111000001105,79.500,78.500,7,5166,0.001355,8,1.14,25.375000,28.000,7.424621202
Carbomer '980' 0.2% eye drops,42186211000001104,78.500,78.000,7,5166,0.001355,12,1.71,9.333333,0.000,13.786246987
Eumovate 0.05% ointment (GlaxoSmithKline UK Ltd),353411000001105,81.500,81.500,7,5166,0.001355,8,1.14,28.000000,28.000,0
Daktacort ointment (Janssen-Cilag Ltd),278911000001102,77.000,77.000,7,5166,0.001355,11,1.57,21.000000,28.000,12.124355653
Malarone 250mg/100mg tablets (GlaxoSmithKline UK Ltd),3638611000001103,65.000,64.500,7,5166,0.001355,8,1.14,17.125000,25.000,14.396800235
Ciprofloxacin 750mg tablets,39687011000001101,77.500,77.500,7,5166,0.001355,8,1.14,15.750000,10.500,10.416333328
Qvar 100 inhaler (Teva UK Ltd),3175611000001106,69.000,68.500,7,5166,0.001355,10,1.43,24.000000,28.000,30.110906114
Aspirin 300mg dispersible tablets,39695211000001102,75.000,74.000,7,5166,0.001355,7,1,17.000000,28.000,13.916417175
Ensure Compact liquid (Flavour Not Specified),23583911000001102,79.000,78.000,7,5166,0.001355,7,1,20.285714,28.000,13.187295477
Loc-Strap catheter retaining strap 49999 (Rochester Medical Ltd),30234611000001108,80.500,80.500,7,5166,0.001355,8,1.14,28.000000,28.000,0
Dutasteride 500microgram capsules,4367811000001102,76.000,75.000,7,5166,0.001355,15,2.14,13.600000,0.000,18.411176741
Space Chamber Plus (Medical Developments International Ltd),21915911000001102,83.500,82.500,7,5166,0.001355,8,1.14,28.000000,28.000,0
"EpiPen 300micrograms/0.3ml (1 in 1,000) solution for injection auto-injectors (Viatris UK Healthcare Ltd)",4719411000001108,79.000,78.000,7,5166,0.001355,7,1,24.000000,28.000,10.583005244
Cathejell Lidocaine C CJL 08501 (Teleflex),34060611000001101,77.000,77.000,7,5166,0.001355,9,1.29,24.888889,28.000,9.333333327
Prednisolone 2.5mg tablets,28808611000001100,79.000,79.000,7,5166,0.001355,9,1.29,24.111111,28.000,9.333333327
Ipratropium bromide 20micrograms/dose inhaler CFC free,38894511000001107,72.000,71.000,7,5166,0.001355,11,1.57,33.909091,50.000,24.308247757
Propranolol 10mg tablets,42380111000001101,48.000,47.000,7,5166,0.001355,15,2.14,24.266667,28.000,9.852241725
Avaxim vaccine suspension for injection 0.5ml pre-filled syringes (Sanofi),3004111000001101,57.000,56.000,7,5166,0.001355,7,1,20.000000,28.000,13.662601033
Zolpidem 5mg tablets,42138911000001100,79.000,78.000,7,5166,0.001355,24,3.43,26.250000,28.000,4.72964745
Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,39111311000001106,65.000,64.000,7,5166,0.001355,9,1.29,12.888889,0.000,15.300689886
Hylo Night eye ointment preservative free (Scope Ophthalmics Ltd),38423911000001100,76.000,76.000,7,5166,0.001355,12,1.71,28.000000,28.000,0
Desloratadine 5mg tablets,42187611000001100,66.000,65.000,7,5166,0.001355,7,1,25.714286,28.000,15.638779652
Cyanocobalamin 100microgram tablets,34199011000001109,64.000,64.000,7,5166,0.001355,7,1,38.285714,28.000,27.213442065
AgaMatrix Ultra-Thin lancets 0.2mm/33gauge (AgaMatrix Europe Ltd),15626611000001108,75.000,74.500,7,5166,0.001355,8,1.14,31.500000,28.000,9.899494937
Cavilon Durable barrier cream (3M Health Care Ltd),6917111000001108,73.000,73.000,7,5166,0.001355,9,1.29,28.000000,28.000,0
Edoxaban 30mg tablets,29903311000001108,82.000,82.000,7,5166,0.001355,7,1,32.714286,28.000,16.780090256
Xyloproct 5%/0.275% ointment (Aspen Pharma Trading Ltd),929011000001108,74.000,73.000,7,5166,0.001355,9,1.29,129.111111,28.000,316.553883424
Crotamiton 10% cream,41895211000001103,78.000,77.000,7,5166,0.001355,7,1,20.000000,28.000,13.662601033
Enalapril 10mg tablets,42374011000001103,64.500,64.500,7,5166,0.001355,14,2,10.000000,0.000,17.733063413
Depo-Medrone 80mg/2ml suspension for injection vials (Pfizer Ltd),777311000001106,70.000,70.000,7,5166,0.001355,13,1.86,21.692308,28.000,11.988776793
Isosorbide mononitrate 60mg modified-release tablets,39024311000001107,77.000,75.500,7,5166,0.001355,10,1.43,17.500000,3.500,23.15767212
Compression hosiery class I below knee stocking circular knit standard stock size,7279111000001105,80.500,80.500,7,5166,0.001355,8,1.14,21.000000,28.000,12.961481397
Tamsulosin 400microgram modified-release tablets,9484411000001101,66.000,66.000,7,5166,0.001355,8,1.14,14.750000,14.000,15.78199699
Codeine 15mg/5ml linctus,15065911000001106,69.000,68.000,7,5166,0.001355,7,1,5.714286,5.000,6.290582564
Lamotrigine 25mg tablets,42130911000001102,61.000,60.500,7,5166,0.001355,8,1.14,17.500000,28.000,14.491376746
Pholcodine 5mg/5ml linctus,38753611000001100,74.000,72.000,7,5166,0.001355,9,1.29,10.111111,0.000,13.605554417
Nicotine 15mg/16hours transdermal patches,36566311000001103,63.000,62.500,7,5166,0.001355,8,1.14,7.000000,0.000,10.583005244
Simvador 40mg tablets (Dexcel-Pharma Ltd),4896711000001108,69.000,68.000,7,5166,0.001355,12,1.71,4.666667,0.000,10.898985228
Nicotine  Inhalation cartridge with mouthpiece (refill)  10 mg/cartridge,,64.000,64.000,7,5166,0.001355,7,1,6.000000,0.000,15.874507866
Optive 0.5% eye drops (Allergan Ltd),14703611000001105,77.000,76.000,7,5166,0.001355,9,1.29,34.888889,28.000,20.666666664
Zoladex LA 10.8mg implant SafeSystem pre-filled syringes (AstraZeneca UK Ltd),512511000001105,82.000,81.000,6,5166,0.001161,15,2.5,18.666667,28.000,13.662601033
Fluticasone Propionate  Aqueous nasal spray  0.05 % (150 dose spray),,72.500,72.500,6,5166,0.001161,6,1,21.833333,14.000,29.437504429
Beclometasone 100micrograms/dose inhaler CFC free,35908111000001105,70.000,69.000,6,5166,0.001161,6,1,35.333333,28.000,33.601587269
Famotidine 40mg tablets,42354111000001100,72.000,71.000,6,5166,0.001161,7,1.17,24.000000,28.000,19.321835653
Uniroid HC ointment (Essential Generics Ltd),754811000001109,80.000,79.500,6,5166,0.001161,6,1,30.333333,28.000,5.715476096
Movelat cream (Thornton & Ross Ltd),537911000001108,80.500,80.000,6,5166,0.001161,6,1,19.833333,28.000,15.158056175
Greenlan lancets 0.35mm/28gauge (Neon Diagnostics Ltd),19781911000001100,69.000,68.000,6,5166,0.001161,19,3.17,29.473684,28.000,6.423640557
Isosorbide mononitrate 20mg tablets,42212511000001101,67.500,67.000,6,5166,0.001161,10,1.67,20.300000,28.000,12.543701368
Aciclovir 400mg tablets,41485611000001107,66.000,65.500,6,5166,0.001161,6,1,21.166667,16.500,20.449123869
Gaviscon Advance Mint chewable tablets (Reckitt Benckiser Healthcare (UK) Ltd),21678111000001100,76.500,76.000,6,5166,0.001161,12,2,21.916667,28.000,9.169696451
Doublebase  Gel (Pump Dispenser),,75.000,75.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
OptiLube sterile lubricating jelly pre-filled syringes (Optimum Medical Solutions Ltd),37575511000001108,79.000,79.000,6,5166,0.001161,6,1,28.000000,28.000,0
Denosumab 60mg/1ml solution for injection pre-filled syringes,17313111000001106,71.000,71.000,6,5166,0.001161,9,1.5,43.555556,28.000,46.666666669
Gliclazide 30mg modified-release tablets,38896211000001104,72.500,72.500,6,5166,0.001161,8,1.33,28.875000,28.000,18.496621313
Voltarol 1.16% Emulgel (Haleon UK Trading Ltd),2894011000001109,80.000,79.000,6,5166,0.001161,9,1.5,18.666667,28.000,14
Prosys sterile catheter valve PCV3942 (Clinisupplies Ltd),24542811000001107,79.000,79.000,6,5166,0.001161,6,1,28.000000,28.000,0
Povidone-Iodine fabric dressing sterile 5cm x 5cm,3440611000001103,76.000,75.500,6,5166,0.001161,6,1,28.000000,28.000,0
Propranolol 40mg tablets,42380311000001104,56.000,56.000,6,5166,0.001161,6,1,19.833333,28.000,12.843935028
Benzydamine 0.15% oromucosal spray sugar free,42100111000001106,72.500,72.500,6,5166,0.001161,6,1,23.333333,28.000,11.430952148
Fostair 200micrograms/dose / 6micrograms/dose inhaler (Chiesi Ltd),31063411000001101,77.000,76.000,6,5166,0.001161,6,1,24.666667,30.000,12.11060143
Fucidin H cream (LEO Pharma),2903711000001100,77.500,76.500,6,5166,0.001161,8,1.33,21.000000,28.000,12.961481397
Brillant AquaFlate all silicone catheter male 16Ch DA310116 10ml balloon (Teleflex),6343111000001100,79.000,79.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Cinchocaine 0.5% / Hydrocortisone 0.5% ointment,3335111000001108,68.500,68.000,6,5166,0.001161,6,1,28.000000,28.000,0
Diclofenac 100mg suppositories,42101311000001103,67.000,67.000,6,5166,0.001161,7,1.17,14.857143,10.000,12.954131542
Pneumovax 23 solution for injection 0.5ml pre-filled syringes (Merck Sharp & Dohme (UK) Ltd),36461211000001108,68.500,67.500,6,5166,0.001161,6,1,28.000000,28.000,0
"LINC-Flo sterile leg bag with lever tap LM500MD-L 500ml bag, 10cm inlet tube (LINC Medical Systems Ltd)",20480911000001101,83.000,83.000,6,5166,0.001161,9,1.5,28.000000,28.000,0
Spirit Bed bag drainable night drainage bag DSBB2000 2litre (Bard Ltd),34049411000001100,77.000,77.000,6,5166,0.001161,9,1.5,28.000000,28.000,0
Zolpidem 10mg tablets,42138811000001105,74.000,73.000,6,5166,0.001161,11,1.83,14.000000,14.000,12.124355653
Calcipotriol 50micrograms/g ointment,41893511000001104,68.500,68.500,6,5166,0.001161,6,1,28.000000,28.000,0
Amoxicillin 250mg/5ml oral suspension sugar free,39021911000001105,59.500,58.500,6,5166,0.001161,12,2,15.250000,10.500,11.670670289
"BD Micro-Fine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Becton, Dickinson UK Ltd)",17281811000001105,81.000,80.500,6,5166,0.001161,6,1,28.000000,28.000,0
Mupirocin 2% nasal ointment,41903911000001103,79.000,78.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Ciprofloxacin 0.3% / Dexamethasone 0.1% ear drops,30780311000001108,72.500,72.000,6,5166,0.001161,6,1,28.000000,28.000,0
"Pro D3 20,000unit capsules (Synergy Biologics Ltd)",19183011000001108,66.000,65.500,6,5166,0.001161,8,1.33,21.125000,28.000,12.732831578
Anusol suppositories (Church & Dwight UK Ltd),777211000001103,77.500,77.500,6,5166,0.001161,6,1,18.666667,28.000,14.459137837
Proctosedyl ointment (Phoenix Labs Ltd),539211000001105,77.000,76.000,6,5166,0.001161,6,1,28.000000,28.000,0
ReplensMD vaginal moisturiser tube (Church & Dwight UK Ltd),35821811000001107,72.500,72.500,6,5166,0.001161,8,1.33,28.000000,28.000,0
Bezafibrate 400mg modified-release tablets,39020211000001107,70.500,70.500,6,5166,0.001161,8,1.33,14.000000,0.000,21.166010489
Sterimar 31.8% isotonic nasal spray (Church & Dwight UK Ltd),15412911000001108,74.000,73.500,6,5166,0.001161,6,1,14.000000,14.000,15.33623161
Quinine bisulfate 300mg tablets,41988111000001106,81.000,80.500,6,5166,0.001161,6,1,14.000000,14.000,15.33623161
Flexitol 10% Urea cream (Thornton & Ross Ltd),35587011000001103,69.500,69.500,6,5166,0.001161,6,1,28.000000,28.000,0
Ugo fix catheter strap medium 3003 80cm (Optimum Medical Solutions Ltd),27970311000001102,77.500,77.500,6,5166,0.001161,8,1.33,28.000000,28.000,0
OptiFlo S saline 0.9% catheter maintenance solution (Bard Ltd),3494911000001106,70.000,69.000,6,5166,0.001161,12,2,21.000000,28.000,12.663476458
Metoprolol 50mg tablets,42377411000001102,82.500,82.000,6,5166,0.001161,8,1.33,-4435.625000,14.000,12602.425842869
Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),28462311000001103,68.000,67.000,6,5166,0.001161,9,1.5,31.111111,28.000,9.333333327
Spiolto Respimat 2.5micrograms/dose / 2.5micrograms/dose inhalation solution cartridge with device (Boehringer Ingelheim Ltd),29971311000001100,77.000,76.000,6,5166,0.001161,7,1.17,28.285714,28.000,0.7559292295
Epimax ointment (Aspire Pharma Ltd),35097011000001100,88.000,87.000,6,5166,0.001161,8,1.33,28.000000,28.000,0
Fucidin 20mg/g cream (LEO Pharma),818211000001108,70.500,70.000,6,5166,0.001161,6,1,14.000000,14.000,15.33623161
Atenolol 100mg tablets,42370411000001101,77.000,76.000,6,5166,0.001161,9,1.5,28.000000,28.000,31.304951685
Perindopril erbumine 2mg tablets,42379211000001107,62.000,61.000,6,5166,0.001161,7,1.17,17.142857,0.000,23.603873771
Enalapril 5mg tablets,42374311000001100,77.000,76.000,6,5166,0.001161,7,1.17,20.000000,28.000,21.166010489
Co-trimoxazole 80mg/400mg tablets,41947411000001107,69.000,68.000,6,5166,0.001161,13,2.17,6.461538,0.000,10.485032046
Spirit One MT drainable night drainage bag DSP1MT30 2litre (Bard Ltd),40065811000001105,77.000,77.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Uro-Tainer sodium chloride 0.9% catheter maintenance solution (B.Braun Medical Ltd),3494611000001100,79.500,79.000,6,5166,0.001161,8,1.33,25.125000,28.000,8.131727984
Ibuprofen 600mg tablets,42105311000001101,67.000,67.000,6,5166,0.001161,7,1.17,26.142857,28.000,12.253279439
Dermatonics Once Heel Balm (Dermatonics Ltd),15550211000001102,76.000,75.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),3282211000001106,68.000,67.000,6,5166,0.001161,8,1.33,21.000000,28.000,12.961481397
Ipratropium bromide 21micrograms/dose nasal spray,38896611000001102,67.000,66.000,6,5166,0.001161,7,1.17,13.285714,15.000,13.174651001
Zomorph 30mg modified-release capsules (Ethypharm UK Ltd),3651611000001107,77.000,76.000,6,5166,0.001161,15,2.5,11.800000,0.000,14.092551224
Irbesartan 75mg tablets,42375611000001106,67.000,67.000,6,5166,0.001161,9,1.5,15.555556,0.000,20.341528409
AgaMatrix Ultra-Thin lancets 0.35mm/28gauge (AgaMatrix Europe Ltd),14580311000001108,68.500,67.500,6,5166,0.001161,6,1,28.000000,28.000,0
Loceryl 5% medicated nail lacquer (Galderma (UK) Ltd),757311000001109,65.500,64.500,6,5166,0.001161,8,1.33,14.000000,14.000,14.966629547
Irbesartan 300mg tablets,42375511000001107,69.000,68.000,6,5166,0.001161,7,1.17,24.000000,28.000,19.321835653
Hylo-Tear 0.1% eye drops preservative free (Scope Ophthalmics Ltd),10580111000001109,76.500,75.500,6,5166,0.001161,6,1,23.333333,28.000,11.430952148
Pioglitazone 15mg tablets,42086211000001105,74.000,73.000,6,5166,0.001161,9,1.5,10.111111,0.000,13.605554417
Brava adhesive remover spray 12010 (Coloplast Ltd),17162011000001108,68.000,67.000,6,5166,0.001161,15,2.5,28.000000,28.000,0
Gentisone HC ear drops (Advanz Pharma),2914711000001101,69.000,68.000,6,5166,0.001161,7,1.17,8.000000,0.000,13.662601033
Alogliptin 12.5mg tablets,23637311000001105,83.500,83.500,6,5166,0.001161,8,1.33,17.500000,28.000,14.491376746
Baclofen 10mg tablets,42032611000001100,71.000,70.000,6,5166,0.001161,7,1.17,25.000000,28.000,7.937253933
Azathioprine 50mg tablets,41759311000001100,74.000,73.500,6,5166,0.001161,6,1,23.333333,28.000,11.430952148
Isomol  Gel,,71.000,71.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Proshield Plus skin protective 8213 0300 04 (Smith & Nephew Healthcare Ltd),18333811000001103,81.000,80.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Acular 0.5% eye drops (AbbVie Ltd),3692911000001104,84.500,84.000,6,5166,0.001161,6,1,24.000000,28.000,9.797958971
Escitalopram 10mg tablets,42271211000001104,58.000,57.000,6,5166,0.001161,9,1.5,21.777778,28.000,12.346839434
Glucoject lancets PLUS 0.2mm/33gauge (A. Menarini Diagnostics Ltd),24530611000001106,70.000,70.000,6,5166,0.001161,7,1.17,28.000000,28.000,0
Pholcodine 10mg/5ml linctus strong sugar free,36564111000001107,65.500,65.500,6,5166,0.001161,10,1.67,37.600000,42.000,22.853154421
Accrete D3 tablets (Thornton & Ross Ltd),19510411000001102,76.000,75.000,6,5166,0.001161,6,1,28.666667,28.000,19.001754314
Ensure Plus milkshake style liquid (Flavour Not Specified),20988111000001100,85.000,85.000,6,5166,0.001161,9,1.5,28.000000,28.000,0
Epimax isomol gel (Aspire Pharma Ltd),30907011000001102,80.000,79.500,6,5166,0.001161,6,1,28.000000,28.000,0
Metronidazole 200mg tablets,41951911000001105,58.000,57.500,6,5166,0.001161,6,1,14.000000,14.000,15.33623161
Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),17609511000001109,75.500,75.000,6,5166,0.001161,6,1,28.000000,28.000,0
Shingles (Herpes Zoster) vaccine (live) powder and solvent for suspension for injection 0.65ml pre-filled syringes,20113811000001103,73.000,72.000,6,5166,0.001161,6,1,28.000000,28.000,0
Allevyn Gentle Border dressing 10cm x 10cm (Smith & Nephew Healthcare Ltd),13088611000001104,87.000,87.000,5,5166,0.000968,8,1.6,28.000000,28.000,0
Hydrofilm Plus  Dressing  9 cm x 10 cm,,81.000,81.000,5,5166,0.000968,6,1.2,28.000000,28.000,0
Luforbec 100micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd),39817511000001103,68.000,68.000,5,5166,0.000968,6,1.2,39.000000,29.000,16.284962389
Sitagliptin 50mg tablets,42089911000001105,73.000,73.000,5,5166,0.000968,5,1,25.200000,28.000,6.260990337
Tabphyn MR 400microgram capsules (Genus Pharmaceuticals Ltd),10186811000001105,68.000,67.000,5,5166,0.000968,7,1.4,16.857143,0.000,23.433797324
