TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Tiotropium bromide 18microgram inhalation powder capsules,9478911000001107,69.000,545,207367,0.002628,725,1.33,17.860690,28.000,24.031486304
Methylprednisolone acetate 40mg/1ml suspension for injection vials,36034711000001101,69.000,545,207367,0.002628,655,1.2,22.407634,28.000,11.75606822
Diclofenac sodium 3% gel,41738811000001101,69.000,541,207367,0.002609,595,1.1,24.112605,28.000,39.154650107
WaveSense JAZZ testing strips (AgaMatrix Europe Ltd),13911411000001101,69.000,537,207367,0.00259,668,1.24,29.446108,28.000,16.701141458
Pravastatin 20mg tablets,42379911000001103,69.000,534,207367,0.002575,711,1.33,19.614627,28.000,19.769317818
Candesartan 16mg tablets,42371711000001104,69.000,526,207367,0.002536,780,1.48,18.976923,28.000,20.925983155
Fultium-D3 800unit capsules (Thornton & Ross Ltd),19920511000001104,69.000,525,207367,0.002532,646,1.23,30.512384,28.000,17.453610773
Spironolactone 25mg tablets,42216511000001100,69.000,525,207367,0.002532,686,1.31,22.600583,28.000,16.590673645
Algesal cream (Thornton & Ross Ltd),439911000001107,69.000,523,207367,0.002522,646,1.24,19.585139,28.000,23.785176077
Mirtazapine 30mg tablets,42274711000001109,69.000,521,207367,0.002512,696,1.34,22.058908,28.000,15.999846437
Nitrofurantoin 100mg tablets,41952911000001104,69.000,518,207367,0.002498,616,1.19,15.425325,7.000,14.802360015
Capsaicin 0.025% cream,41893711000001109,69.000,518,207367,0.002498,601,1.16,21.627288,28.000,11.865532184
Scheriproct suppositories (Karo Healthcare UK Ltd),385411000001102,69.000,517,207367,0.002493,616,1.19,22.970779,28.000,10.452639906
Sertraline 100mg tablets,39704011000001103,69.000,515,207367,0.002483,806,1.57,18.687345,28.000,17.656389438
Cetraben Emollient  Cream,,69.000,514,207367,0.002479,624,1.21,15.070513,0.000,31.777590296
Lidocaine 50mg/5ml (1%) solution for injection ampoules,36040011000001109,69.000,508,207367,0.00245,606,1.19,23.381188,28.000,11.428899553
Maxitrol eye drops (Novartis Pharmaceuticals UK Ltd),270211000001108,69.000,507,207367,0.002445,593,1.17,17.281619,28.000,14.313217388
Tiotropium bromide 18microgram inhalation powder capsules with device,9479011000001103,69.000,506,207367,0.00244,571,1.13,19.644483,28.000,17.169783225
Pravastatin 10mg tablets,42379811000001108,69.000,503,207367,0.002426,682,1.36,20.472141,28.000,20.626600253
Canesten HC cream (Bayer Plc),125711000001105,69.000,500,207367,0.002411,628,1.26,19.326433,28.000,62.82529485
Betamethasone valerate 0.025% ointment,41892511000001106,69.000,497,207367,0.002397,571,1.15,25.406305,28.000,9.589992701
Doublebase  Gel (Pump Dispenser),,69.000,497,207367,0.002397,612,1.23,25.632353,28.000,31.468797816
Sharpsguard disposal unit 1litre Yellow (Daniels Healthcare Ltd),12528211000001102,69.000,495,207367,0.002387,619,1.25,24.334410,28.000,16.44298659
Benzydamine 0.15% oromucosal spray sugar free,42100111000001106,69.000,494,207367,0.002382,531,1.07,24.781544,28.000,9.930005891
Calcipotriol 0.005% / Betamethasone dipropionate 0.05% ointment,3432011000001105,69.000,493,207367,0.002377,622,1.26,24.678457,28.000,13.655391316
Nefopam 30mg tablets,42296811000001101,69.000,493,207367,0.002377,590,1.2,25.772881,28.000,24.941887158
Ovestin 1mg/g vaginal cream with applicator (Aspen Pharma Trading Ltd),623311000001109,69.000,492,207367,0.002373,618,1.26,26.412621,28.000,88.974963984
Metronidazole 0.75% gel,41742611000001101,69.000,492,207367,0.002373,560,1.14,25.494643,28.000,31.652631154
Triamcinolone acetonide 40mg/1ml suspension for injection vials,35921711000001107,69.000,488,207367,0.002353,631,1.29,25.521395,28.000,8.293759461
Epimax  Cream,,69.000,485,207367,0.002339,603,1.24,29.021559,28.000,20.381197757
"Sanofi Pasteur Msd Pneumococcal Polysaccharide  Vaccine, Solution For Injection  0.5 ml vial",,69.000,485,207367,0.002339,488,1.01,25.463115,28.000,7.969311765
Hylo-Forte 0.2% eye drops preservative free (Scope Ophthalmics Ltd),16119611000001106,69.000,484,207367,0.002334,692,1.43,24.758671,28.000,11.243180778
"Influenza vaccine (split virion, inactivated) 15microgram strain suspension for injection 0.1ml pre-filled syringes",15507511000001109,69.000,484,207367,0.002334,488,1.01,6.448770,0.000,12.401953798
Meloxicam 7.5mg tablets,42106811000001102,69.000,484,207367,0.002334,629,1.3,17.958665,28.000,16.283462623
Perindopril erbumine 2mg tablets,42379211000001107,69.000,483,207367,0.002329,699,1.45,15.563662,0.000,21.250717729
Epimax excetra cream (Aspire Pharma Ltd),34916411000001108,69.000,483,207367,0.002329,615,1.27,51.066667,28.000,563.416685942
