TERM,MED_CODE_ID,MEDIAN_EVENT_AGE,N_PATIENT_COUNT,N_PATIENT_COUNT_TOTAL,PREVALENCE,TOTAL_PRESCRIPTIONS,AVG_PRESCRIPTIONS_PER_PATIENT,AVG_DURATION,MEDIAN_DURATION,STD_DURATION
Etoricoxib 90mg tablets,42103411000001109,69.000,142,207367,0.000685,204,1.44,19.137255,28.000,14.81081966
Oilatum Emollient (Thornton & Ross Ltd),159411000001102,69.000,141,207367,0.00068,184,1.3,-180.418478,28.000,2773.617821268
Tacrolimus 0.1% ointment,41770611000001101,69.000,141,207367,0.00068,167,1.18,27.353293,28.000,6.278743903
Soprobec 100micrograms/dose inhaler (Glenmark Pharmaceuticals Europe Ltd),36603611000001108,69.000,141,207367,0.00068,156,1.11,77.884615,28.000,445.788449199
Amoxicillin 250mg/5ml oral suspension sugar free,39021911000001105,69.000,141,207367,0.00068,166,1.18,12.192771,7.000,10.433579635
"Valupak Vitamin D3 1,000unit tablets (BR Pharmaceuticals Ltd)",19504011000001101,69.000,140,207367,0.000675,187,1.34,36.866310,28.000,33.51244815
"Ring pessary 1.25cm thick, 68mm diameter, PVC",3441911000001102,69.000,140,207367,0.000675,174,1.24,22.235632,28.000,11.61604907
Evacal D3 1500mg/400unit chewable tablets (Teva UK Ltd),22852811000001100,69.500,140,207367,0.000675,162,1.16,34.617284,28.000,18.777922755
K-Soft bandage 10cm x 3.5m (Urgo Ltd),9622011000001106,69.000,140,207367,0.000675,202,1.44,21.742574,28.000,12.314416145
Oxybutynin 5mg modified-release tablets,39112111000001104,69.000,139,207367,0.00067,184,1.32,22.190217,28.000,15.838381546
Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd),42603011000001104,70.000,139,207367,0.00067,147,1.06,25.639456,28.000,6.860593852
Difflam Oral Rinse 0.15% solution (Ceuta Healthcare Ltd),301311000001108,69.000,139,207367,0.00067,176,1.27,14.255682,2.000,14.589525455
Elocon 0.1% ointment (Organon Pharma (UK) Ltd),338611000001100,69.000,139,207367,0.00067,172,1.24,17.238372,28.000,18.924476981
"InVita D3 50,000unit capsules (Consilient Health Ltd)",34239711000001100,69.000,139,207367,0.00067,140,1.01,29.628571,28.000,8.525326504
Compression hosiery class II below knee stocking circular knit standard stock size,7280311000001107,69.000,138,207367,0.000665,166,1.2,24.108434,28.000,14.891129809
Xalatan 50micrograms/ml eye drops (Viatris UK Healthcare Ltd),365611000001101,69.000,138,207367,0.000665,229,1.66,10.139738,0.000,13.550996642
Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge,17290211000001104,69.000,138,207367,0.000665,168,1.22,30.922619,28.000,16.204899475
AproDerm emollient cream (Fontus Health Ltd),28390111000001105,69.000,138,207367,0.000665,171,1.24,28.280702,28.000,5.556409272
Liquid Paraffin And Isopropyl Myristate  Gel (Pump Dispenser)  15 % + 15 %,,69.000,138,207367,0.000665,170,1.23,36.658824,28.000,92.471848003
Zomorph 10mg modified-release capsules (Ethypharm UK Ltd),3652111000001109,69.000,137,207367,0.000661,210,1.53,17.261905,28.000,14.562289106
Sitagliptin 50mg tablets,42089911000001105,69.000,137,207367,0.000661,173,1.26,25.861272,28.000,18.699687618
Alphosyl 2 in 1 shampoo (Omega Pharma Ltd),509711000001109,69.000,137,207367,0.000661,184,1.34,21.858696,28.000,11.783179197
Supemtek Quadrivalent vaccine (recombinant) solution for injection 0.5ml pre-filled syringes (Sanofi),39566211000001103,69.000,136,207367,0.000656,136,1,28.000000,28.000,0
Empagliflozin 25mg tablets,25290611000001102,69.000,136,207367,0.000656,147,1.08,30.122449,28.000,15.674732278
Trulicity 1.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd),28462311000001103,69.000,136,207367,0.000656,158,1.16,31.430380,28.000,14.591406204
Azathioprine 50mg tablets,41759311000001100,69.000,136,207367,0.000656,278,2.04,16.028777,28.000,16.84606135
Artificial saliva spray,34820711000001100,70.000,136,207367,0.000656,151,1.11,28.529801,28.000,11.007153992
Uniroid HC ointment (Essential Generics Ltd),754811000001109,69.000,136,207367,0.000656,171,1.26,28.894737,28.000,42.102682967
Prednisolone 5mg soluble tablets,39722711000001103,69.000,136,207367,0.000656,166,1.22,15.855422,10.000,13.444054708
Premarin 0.625mg tablets (Pfizer Ltd),34911000001102,69.000,136,207367,0.000656,227,1.67,25.823789,28.000,31.558272513
Ramipril 10mg tablets,42381311000001109,69.000,136,207367,0.000656,188,1.38,21.010638,28.000,21.34438507
"Ring pessary 1.25cm thick, 71mm diameter, PVC",3442011000001109,69.000,135,207367,0.000651,169,1.25,20.710059,28.000,13.411702614
GlucoRx FinePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd),23056211000001109,69.000,135,207367,0.000651,176,1.3,22.375000,28.000,17.742805387
Mebeverine 200mg modified-release capsules,39107911000001102,69.000,135,207367,0.000651,166,1.23,22.524096,28.000,14.579646189
Lansoprazole 15mg orodispersible tablets,4053411000001103,69.000,135,207367,0.000651,161,1.19,21.708075,28.000,21.119493294
Cyanocobalamin 100microgram tablets,34199011000001109,69.000,135,207367,0.000651,165,1.22,36.490909,28.000,25.812319365
"Stexerol-D3 1,000unit tablets (Kyowa Kirin International UK NewCo Ltd)",28003611000001108,69.000,135,207367,0.000651,155,1.15,35.412903,28.000,20.166446068
Ganfort 0.3mg/ml / 5mg/ml eye drops (AbbVie Ltd),10458211000001104,69.000,134,207367,0.000646,199,1.49,16.306533,28.000,14.211657891
Erythromycin ethyl succinate 500mg tablets,41949111000001108,69.000,133,207367,0.000641,157,1.18,8.821656,7.000,11.277674317
Beclometasone 100micrograms/dose inhaler CFC free,35908111000001105,69.000,133,207367,0.000641,146,1.1,36.095890,28.000,24.605950723
Finetest Lite testing strips (Neon Diagnostics Ltd),31361511000001100,69.000,133,207367,0.000641,159,1.2,30.899371,28.000,29.351685727
Triamcinolone 55micrograms/dose nasal spray,38750811000001108,69.000,133,207367,0.000641,154,1.16,61.051948,0.000,579.321383394
CareSens N testing strips (Spirit Healthcare Ltd),15600511000001102,69.000,133,207367,0.000641,171,1.29,27.520468,28.000,16.333055317
Humulin M3 KwikPen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),17609511000001109,69.000,133,207367,0.000641,174,1.31,25.367816,28.000,17.420415207
Dutasteride 500microgram capsules,4367811000001102,69.000,133,207367,0.000641,185,1.39,17.102703,28.000,18.852840953
Canagliflozin 100mg tablets,39734511000001100,69.000,133,207367,0.000641,163,1.23,26.920245,30.000,18.692106222
Travoprost 40micrograms/ml eye drops,42197011000001108,69.000,132,207367,0.000637,198,1.5,16.075758,28.000,15.551757971
Ipratropium bromide 21micrograms/dose nasal spray,38896611000001102,69.000,130,207367,0.000627,159,1.22,65.905660,22.000,451.486977713
Acetic Acid  Ear Spray  2 %,,69.000,130,207367,0.000627,139,1.07,26.071942,28.000,8.166421432
CosmoCol Plain oral powder sachets (Stirling Anglian Pharmaceuticals Ltd),28751911000001106,70.000,129,207367,0.000622,153,1.19,25.405229,28.000,9.66166999
Celluvisc 1% eye drops 0.4ml unit dose (AbbVie Ltd),28403511000001101,69.000,129,207367,0.000622,181,1.4,19.055249,28.000,14.608111822
Zerodouble gel (Thornton & Ross Ltd),23463811000001100,69.000,128,207367,0.000617,168,1.31,27.666667,28.000,3.045889854
Contour Next testing strips (Ascensia Diabetes Care UK Ltd),20156511000001102,69.000,128,207367,0.000617,176,1.38,22.232955,28.000,13.804233083
Quetiapine 25mg tablets,42278311000001100,69.000,128,207367,0.000617,184,1.44,23.358696,28.000,16.300847493
Daktarin 2% cream (McNeil Products Ltd),3458311000001107,69.000,128,207367,0.000617,157,1.23,23.923567,28.000,30.633177374
Nicotine 21mg/24hours transdermal patches,39022411000001107,69.000,127,207367,0.000612,168,1.32,19.708333,21.000,27.023909173
Epimax isomol gel (Aspire Pharma Ltd),30907011000001102,69.000,127,207367,0.000612,156,1.23,27.621795,28.000,2.860956134
Betnovate RD 0.025% ointment (GlaxoSmithKline UK Ltd),426011000001100,69.000,127,207367,0.000612,139,1.09,19.812950,28.000,15.003172764
Felbinac 3% gel,41739811000001108,69.000,127,207367,0.000612,165,1.3,14.806061,0.000,16.145261689
Nitrazepam 5mg tablets,42132411000001106,69.000,126,207367,0.000608,272,2.16,14.029412,0.500,14.732768986
Gastrocote liquid (Actavis UK Ltd),3189411000001101,69.000,126,207367,0.000608,176,1.4,10.085227,0.000,17.385991344
Hirudoid 0.3% cream (Thornton & Ross Ltd),3158411000001101,69.500,126,207367,0.000608,152,1.21,15.618421,28.000,13.642519342
FreeStyle lancets 0.5mm/28gauge (Abbott Laboratories Ltd),17014211000001103,69.000,125,207367,0.000603,149,1.19,23.677852,28.000,60.242333645
K-Soft Long bandage 10cm x 4.5m (Urgo Ltd),10998411000001105,69.000,125,207367,0.000603,190,1.52,25.789474,28.000,7.570333018
Pneumovax II vaccine solution for injection 0.5ml pre-filled syringes (Organon Pharma (UK) Ltd),3005011000001103,69.000,125,207367,0.000603,125,1,8.576000,0.000,27.785545091
Apixaban 2.5mg tablets,42206411000001101,69.000,124,207367,0.000598,142,1.15,23.549296,28.000,15.08161132
Methylprednisolone acetate 80mg/2ml suspension for injection vials,36034811000001109,69.000,124,207367,0.000598,151,1.22,23.801325,28.000,12.584657246
Laxido Orange oral powder sachets (Galen Ltd),13629411000001105,69.000,124,207367,0.000598,153,1.23,13.732026,0.000,19.900412106
Ultrabase cream (Derma UK Ltd),3641411000001107,69.000,124,207367,0.000598,165,1.33,23.672727,28.000,10.327068171
Ispaghula Husk Sugar and Gluten Free  Effervescent granules (orange)  3.5 grams/sachet,,69.000,123,207367,0.000593,146,1.19,24.732877,28.000,32.563421641
Colofac 135mg tablets (Ceuta Healthcare Ltd),2902111000001107,69.000,123,207367,0.000593,174,1.41,23.913793,0.000,142.44462887
Glyceryl Trinitrate  Spray  400 micrograms/dose,,69.000,123,207367,0.000593,126,1.02,10.873016,0.000,21.515383938
Dexamethasone 0.1% / Tobramycin 0.3% eye drops,42187711000001109,69.000,123,207367,0.000593,129,1.05,23.565891,28.000,10.46410904
Mupirocin 2% cream,41903711000001100,69.000,123,207367,0.000593,131,1.07,17.328244,28.000,13.711557607
Trazodone 50mg capsules,42280711000001105,69.000,122,207367,0.000588,190,1.56,19.752632,28.000,18.953210783
Betnesol 0.1% eye/ear/nose drops (RPH Pharmaceuticals AB),3148011000001108,69.000,122,207367,0.000588,142,1.16,17.788732,28.000,14.17511104
Clotrimazole 200mg pessaries,39705511000001107,69.000,122,207367,0.000588,140,1.15,10.650000,3.000,12.272637288
Heparinoid 0.3% gel,41740211000001104,69.000,122,207367,0.000588,142,1.16,23.330986,28.000,11.517930413
Nicorandil 20mg tablets,42214911000001104,69.000,122,207367,0.000588,192,1.57,16.067708,28.000,16.692180774
Loceryl 5% medicated nail lacquer (Galderma (UK) Ltd),757311000001109,69.000,122,207367,0.000588,150,1.23,19.846667,28.000,64.165028076
Incruse Ellipta 55micrograms/dose dry powder inhaler (GlaxoSmithKline UK Ltd),27567911000001101,69.000,122,207367,0.000588,127,1.04,30.960630,30.000,11.338515335
Betamethasone 500microgram soluble tablets sugar free,39697311000001102,69.000,121,207367,0.000583,170,1.4,23.029412,28.000,10.555251347
Tramadol 50mg modified-release capsules,35940111000001103,69.000,121,207367,0.000583,183,1.51,20.103825,28.000,12.867675509
Mefloquine 250mg tablets,39700111000001106,69.000,121,207367,0.000583,130,1.07,30.261538,28.000,38.331793801
Mepilex Border dressing 10cm x 12.5cm (Molnlycke Health Care Ltd),13787511000001104,69.000,121,207367,0.000583,160,1.32,25.012500,28.000,9.658956465
Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd),4365711000001104,69.000,121,207367,0.000583,122,1.01,11.245902,0.000,13.783036349
Tramadol 100mg modified-release capsules,35920211000001106,69.000,120,207367,0.000579,174,1.45,21.321839,28.000,18.414303462
Lidocaine 700mg medicated plasters,116281000001109,69.000,120,207367,0.000579,169,1.41,22.289941,28.000,11.284943863
Estradiol 25microgram pessaries,3405311000001106,69.000,120,207367,0.000579,179,1.49,17.608939,0.000,42.958866244
Zapain 30mg/500mg capsules (Advanz Pharma),314111000001106,69.500,120,207367,0.000579,174,1.45,13.827586,13.000,11.817207877
Canesten 1% cream (Bayer Plc),166311000001108,69.000,120,207367,0.000579,145,1.21,23.841379,10.000,123.128866315
"Lidocaine 200mg/20ml (1%) / Adrenaline (base) 100micrograms/20ml (1 in 200,000) solution for injection vials",3602611000001107,69.000,119,207367,0.000574,123,1.03,25.528455,28.000,11.022573837
Duloxetine 20mg gastro-resistant capsules,8013111000001100,69.000,119,207367,0.000574,152,1.28,24.486842,28.000,11.226144307
Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd),3380011000001106,69.000,119,207367,0.000574,205,1.72,7.375610,0.000,14.325364533
"Ring pessary 1.25cm thick, 65mm diameter, PVC",3441711000001104,69.000,118,207367,0.000569,153,1.3,24.091503,28.000,10.316287268
Ramipril 1.25mg tablets,42381111000001107,69.000,118,207367,0.000569,136,1.15,24.911765,28.000,15.727998442
Cinchocaine 0.5% / Prednisolone 0.19% ointment,3335011000001107,69.000,118,207367,0.000569,142,1.2,21.253521,28.000,12.193148076
Mepilex Border dressing 7cm x 7.5cm (Molnlycke Health Care Ltd),13787011000001107,69.000,118,207367,0.000569,142,1.2,23.183099,28.000,10.670845608
Softpore dressing 10cm x 10cm (Richardson Healthcare Ltd),8119911000001106,69.000,118,207367,0.000569,146,1.24,26.280822,28.000,8.731033158
Sulfasalazine 500mg gastro-resistant tablets,42298111000001107,69.000,118,207367,0.000569,201,1.7,15.268657,0.000,27.321739751
Glimepiride 1mg tablets,42083011000001108,69.000,117,207367,0.000564,176,1.5,16.244318,0.000,24.013150481
Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd),36509011000001106,69.000,117,207367,0.000564,117,1,28.000000,28.000,0
Clenil Modulite 50micrograms/dose inhaler (Chiesi Ltd),10617711000001103,69.000,117,207367,0.000564,134,1.15,27.716418,28.000,26.387685651
Latanoprost 50micrograms/ml eye drops 0.2ml unit dose preservative free,22154311000001108,69.000,116,207367,0.000559,131,1.13,27.786260,28.000,10.285918384
Tamsulosin 400microgram modified-release tablets,9484411000001101,69.000,116,207367,0.000559,155,1.34,18.167742,28.000,17.653158867
NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/30gauge (Novo Nordisk Ltd),492011000001105,69.000,116,207367,0.000559,157,1.35,15.656051,28.000,14.459808747
Esomeprazole 40mg gastro-resistant capsules,17631411000001100,69.000,115,207367,0.000555,142,1.23,23.957746,28.000,17.925722719
Comfifast  Stockinette  10.75 cm x 5 m (yellow line),,69.000,115,207367,0.000555,161,1.4,26.186335,28.000,7.108274193
Eplerenone 25mg tablets,42209511000001107,69.000,115,207367,0.000555,160,1.39,22.637500,28.000,21.248303673
Arthrotec 50 gastro-resistant tablets (Pfizer Ltd),3159911000001101,69.000,115,207367,0.000555,197,1.71,10.223350,0.000,14.69523256
Mupirocin 2% ointment,41904011000001100,69.000,115,207367,0.000555,124,1.08,21.516129,28.000,11.213728417
Fybogel  Granules  3.5 grams/sachet,,69.000,114,207367,0.00055,163,1.43,12.239264,0.000,14.730850451
Valsartan 160mg capsules,42384111000001105,69.000,114,207367,0.00055,149,1.31,21.107383,28.000,22.246816042
Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd),3294211000001101,69.000,113,207367,0.000545,149,1.32,24.006711,28.000,32.531377084
Sotalol 80mg tablets,42382711000001101,69.000,113,207367,0.000545,214,1.89,9.429907,0.000,14.384467456
Fluticasone propionate 500micrograms/dose / Salmeterol 50micrograms/dose dry powder inhaler,38897411000001103,69.000,113,207367,0.000545,185,1.64,16.448649,0.000,30.407357712
Tiotropium bromide 2.5micrograms/dose solution for inhalation cartridge with device CFC free,12197411000001102,69.000,113,207367,0.000545,147,1.3,32.741497,28.000,148.029619789
Mini-Wright peak flow meter standard range 3103388 (Clement Clarke International Ltd),8051211000001102,69.000,113,207367,0.000545,114,1.01,26.035088,28.000,47.077403752
Dosulepin 75mg tablets,42270711000001103,69.000,113,207367,0.000545,224,1.98,16.388393,0.000,29.946979297
Compression hosiery class I below knee stocking circular knit standard stock size,7279111000001105,69.000,113,207367,0.000545,138,1.22,23.652174,28.000,11.165413338
Adalat LA 30mg tablets (Bayer Plc),2881311000001105,69.000,113,207367,0.000545,168,1.49,31.898810,28.000,201.800537078
Sodium alginate 500mg / Potassium bicarbonate 100mg chewable tablets sugar free,9046011000001100,69.000,112,207367,0.00054,136,1.21,15.727941,15.000,12.284568409
CosmoCol Lemon and Lime Flavour oral powder sachets (Stirling Anglian Pharmaceuticals Ltd),24580211000001104,69.000,112,207367,0.00054,130,1.16,24.492308,28.000,9.102556234
Levetiracetam 250mg tablets,42131211000001100,69.000,112,207367,0.00054,128,1.14,23.890625,28.000,13.291542725
Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd),3382711000001107,69.000,112,207367,0.00054,155,1.38,19.064516,28.000,14.771276722
Tibolone 2.5mg tablets,41882911000001100,69.000,112,207367,0.00054,177,1.58,23.468927,28.000,34.744038007
Lamotrigine 25mg tablets,42130911000001102,70.000,112,207367,0.00054,179,1.6,21.944134,28.000,18.063782328
Simpla Profile drainable night drainage bag 21578 2litre (Coloplast Ltd),11368111000001103,69.000,112,207367,0.00054,156,1.39,26.833333,28.000,7.104594922
Timolol 0.25% eye drops,42196811000001104,69.000,111,207367,0.000535,150,1.35,13.726667,0.000,20.542604825
Thin lancets 0.36mm/28gauge (Abbott Laboratories Ltd),5451811000001101,69.000,111,207367,0.000535,118,1.06,14.898305,0.000,20.944121753
Luforbec 100micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd),39817511000001103,70.000,111,207367,0.000535,116,1.05,34.732759,28.000,13.082585677
Tioconazole 283mg/ml medicated nail lacquer,35919611000001109,69.000,110,207367,0.00053,137,1.25,16.635036,28.000,20.09421775
Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd),3187211000001106,69.000,110,207367,0.00053,149,1.35,18.147651,28.000,33.336404875
Erythromycin  Stearate tablets  500 mg,,69.000,110,207367,0.00053,122,1.11,10.368852,7.000,11.754514409
Tears Naturale eye drops (Alcon Eye Care UK Ltd),186411000001103,69.000,110,207367,0.00053,160,1.45,14.656250,28.000,14.268338901
Timolol 0.5% eye drops,42196911000001109,69.000,110,207367,0.00053,171,1.55,9.742690,0.000,14.00140293
Pioglitazone 45mg tablets,42086411000001109,69.000,110,207367,0.00053,177,1.61,17.429379,0.000,24.353384036
OneTouch Select Plus testing strips (LifeScan),29728611000001105,69.000,110,207367,0.00053,134,1.22,27.970149,28.000,4.620875025
Lacidipine 4mg tablets,42212911000001108,69.000,110,207367,0.00053,186,1.69,19.881720,28.000,30.816053901
Nifedipine 5mg capsules,42215111000001103,69.000,110,207367,0.00053,145,1.32,20.186207,28.000,14.369617949
White soft paraffin 13.2% / Liquid paraffin light 10.5% cream,3376211000001105,69.000,109,207367,0.000526,130,1.19,26.692308,28.000,34.055778717
Prednisolone acetate 1% eye drops,42195311000001103,69.000,109,207367,0.000526,121,1.11,21.206612,28.000,12.631255797
Tegretol 100mg tablets (Novartis Pharmaceuticals UK Ltd),680511000001100,69.000,109,207367,0.000526,136,1.25,22.669118,28.000,14.086008377
Calamine lotion,14608811000001105,69.000,109,207367,0.000526,110,1.01,-327.827273,28.000,3670.880777891
Space Chamber Plus Compact (Medical Developments International Ltd),21916111000001106,69.000,109,207367,0.000526,114,1.05,27.754386,28.000,2.622440276
"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)",11278411000001109,69.000,109,207367,0.000526,114,1.05,23.973684,28.000,9.66011827
Kliovance tablets (Novo Nordisk Ltd),3038811000001109,69.000,109,207367,0.000526,161,1.48,31.354037,28.000,32.168192738
Co-tenidone 50mg/12.5mg tablets,42373711000001103,69.000,109,207367,0.000526,199,1.83,11.256281,0.000,17.098929265
Venlafaxine 75mg modified-release capsules,38750311000001104,69.000,109,207367,0.000526,160,1.47,24.050000,28.000,87.668027347
Mefix tape 10cm (Molnlycke Health Care Ltd),265311000001100,69.000,108,207367,0.000521,129,1.19,19.465116,28.000,13.541629407
Salicylic acid 2% / Mucopolysaccharide polysulfate 0.2% cream,41905411000001105,69.000,108,207367,0.000521,148,1.37,21.763514,28.000,19.845786908
Azithromycin 500mg tablets,39733511000001103,69.000,108,207367,0.000521,120,1.11,14.250000,6.000,14.714224512
Dorzolamide 20mg/ml eye drops,42188611000001101,69.000,108,207367,0.000521,158,1.46,16.481013,28.000,14.557035412
Nizoral 2% shampoo (Thornton & Ross Ltd),32411000001103,69.000,108,207367,0.000521,143,1.32,16.643357,28.000,14.756906044
Tolterodine 1mg tablets,42043711000001100,69.000,108,207367,0.000521,137,1.27,24.372263,28.000,12.98812088
"Ergocalciferol 300,000units/1ml solution for injection ampoules",3630211000001103,69.000,107,207367,0.000516,124,1.16,13.306452,1.000,14.115768381
Ethilon suture 1.5gauge 45cm length with 19mm curved reverse cutting needle W319 Blue (Ethicon Ltd),5996711000001107,69.000,107,207367,0.000516,110,1.03,22.872727,28.000,12.837809042
"Ring pessary 1.25cm thick, 74mm diameter, PVC",3442111000001105,69.000,107,207367,0.000516,136,1.27,23.889706,28.000,14.256732164
Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd),15506511000001107,69.000,106,207367,0.000511,111,1.05,15.234234,1.000,15.434291788
Tubigrip Elasticated Support Bandage  Stockinette  8.75 cm x 1 m (e),,69.000,106,207367,0.000511,120,1.13,12.250000,0.000,14.470050207
Hydrocortisone 0.5% ointment,41899911000001109,69.000,106,207367,0.000511,117,1.1,20.051282,28.000,12.920076703
Micralax Micro-enema 5ml (RPH Pharmaceuticals AB),3351711000001106,69.000,106,207367,0.000511,139,1.31,19.474820,28.000,12.933122825
Digoxin 250microgram tablets,42208611000001102,69.000,106,207367,0.000511,173,1.63,21.872832,28.000,41.636801858
Lacidipine 2mg tablets,42212811000001103,69.000,106,207367,0.000511,164,1.55,21.353659,28.000,19.339950052
Canesten Combi 500mg pessary and External 2% cream (Bayer Plc),3364911000001103,69.000,105,207367,0.000506,116,1.1,21.000000,28.000,12.000724603
Ranolazine 375mg modified-release tablets,15000811000001106,69.000,105,207367,0.000506,134,1.28,23.671642,28.000,17.280862594
Eyeaze 0.2% eye drops preservative free (Ridge Pharma Ltd),39873311000001108,69.000,105,207367,0.000506,113,1.08,28.557522,28.000,4.96224687
Lidocaine 100mg/10ml (1%) solution for injection ampoules,3776011000001101,69.000,105,207367,0.000506,116,1.1,21.155172,28.000,12.653649395
Non-woven fabric swab 4ply non-sterile 10cm x 10cm,3506411000001101,69.000,105,207367,0.000506,130,1.24,22.238462,28.000,11.708874156
OneTouch Verio testing strips (LifeScan),18337711000001101,69.000,104,207367,0.000502,160,1.54,26.350000,28.000,7.588637625
"Colecalciferol 1,000unit capsules",17334411000001109,70.000,104,207367,0.000502,119,1.14,35.991597,28.000,22.85566199
Dermol 600 bath emollient (Dermal Laboratories Ltd),919911000001102,69.500,104,207367,0.000502,138,1.33,22.442029,28.000,11.866051744
Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free,12911011000001100,69.000,104,207367,0.000502,132,1.27,25.409091,28.000,23.775333478
Zeroveen cream (Thornton & Ross Ltd),34459511000001107,69.000,104,207367,0.000502,116,1.12,27.913793,28.000,4.173558554
GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/31gauge (GlucoRx Ltd),19800111000001105,69.000,104,207367,0.000502,119,1.14,30.277311,28.000,19.700264288
NovoFine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Novo Nordisk Ltd),810311000001102,69.000,103,207367,0.000497,154,1.5,19.064935,28.000,34.180160005
Cocois ointment (RPH Pharmaceuticals AB),654911000001108,69.000,103,207367,0.000497,122,1.18,17.803279,28.000,20.132470117
Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials,39710011000001108,69.000,103,207367,0.000497,128,1.24,14.585938,10.000,12.487175982
Venlafaxine 75mg tablets,39707411000001102,69.000,103,207367,0.000497,175,1.7,24.874286,28.000,83.791792945
Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler,4378111000001103,69.000,103,207367,0.000497,134,1.3,12.440299,0.000,14.862027722
Etodolac 600mg modified-release tablets,39109711000001107,69.000,102,207367,0.000492,187,1.83,10.379679,0.000,15.422724954
Liraglutide 6mg/ml solution for injection 3ml pre-filled disposable devices,15859111000001102,69.000,102,207367,0.000492,168,1.65,16.154762,28.000,14.368956921
Diprosalic 0.05%/2% scalp application (Organon Pharma (UK) Ltd),531811000001105,69.000,102,207367,0.000492,125,1.23,22.848000,28.000,11.865547859
Proshield Plus skin protective 8213 0300 04 (Smith & Nephew Healthcare Ltd),18333811000001103,69.000,102,207367,0.000492,150,1.47,26.693333,28.000,5.925654225
Eltroxin 25microgram tablets (Advanz Pharma),440111000001100,69.000,102,207367,0.000492,169,1.66,10.437870,0.000,15.803028191
Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd),3378211000001106,69.000,102,207367,0.000492,123,1.21,11.634146,0.000,22.004197918
Mepore dressing 11cm x 15cm (Molnlycke Health Care Ltd),154911000001109,69.000,101,207367,0.000487,114,1.13,21.543860,28.000,11.780545191
Pandemrix vaccine emulsion and suspension for emulsion for injection (GlaxoSmithKline UK Ltd),15651011000001109,69.000,101,207367,0.000487,103,1.02,7.339806,0.000,13.700975622
DuoResp Spiromax 320micrograms/dose / 9micrograms/dose dry powder inhaler (Teva UK Ltd),25254711000001106,69.000,101,207367,0.000487,112,1.11,26.651786,28.000,11.782342721
Mirtazapine 15mg orodispersible tablets,42274411000001103,69.000,101,207367,0.000487,126,1.25,24.976190,28.000,13.040530242
AproDerm Colloidal Oat cream (Fontus Health Ltd),31342311000001108,70.000,101,207367,0.000487,130,1.29,28.107692,28.000,2.754126359
Diclofenac sodium 75mg modified-release capsules,37084911000001107,69.000,100,207367,0.000482,153,1.53,25.183007,28.000,102.897332448
Sodium fusidate 2% ointment,41905711000001104,69.000,100,207367,0.000482,102,1.02,22.490196,28.000,11.856188679
Escitalopram 5mg tablets,42271411000001100,69.000,100,207367,0.000482,136,1.36,21.360294,28.000,18.61447974
Simpla G-Strap adult 383001 50cm (Coloplast Ltd),6476511000001109,69.000,100,207367,0.000482,141,1.41,26.794326,28.000,5.670119311
Rofecoxib 12.5mg tablets,42110911000001107,69.000,99,207367,0.000477,134,1.35,17.343284,28.000,13.966180688
Eyeaze 0.1% eye drops preservative free (Ridge Pharma Ltd),39873111000001106,69.000,99,207367,0.000477,112,1.13,28.723214,28.000,4.554395569
Ibandronic acid 150mg tablets,9553111000001105,69.000,99,207367,0.000477,134,1.35,18.641791,28.000,22.221848955
Carmellose 0.5% eye drops 0.4ml unit dose preservative free,18248211000001104,69.000,99,207367,0.000477,120,1.21,27.633333,28.000,7.528024176
Budesonide 64micrograms/dose nasal spray,7425611000001100,69.000,99,207367,0.000477,126,1.27,22.817460,28.000,20.644573452
Isosorbide mononitrate 25mg modified-release capsules,39024211000001104,69.000,98,207367,0.000473,123,1.26,23.113821,28.000,21.551008213
Vivotif vaccine gastro-resistant capsules (Bavarian Nordic UK Ltd),2998811000001100,69.000,98,207367,0.000473,99,1.01,17.454545,28.000,13.44396742
