lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_free,707,353,0.4993,0.6018,0.9453,0.9272,0.9601,0.9393,0.9185,0.9572,0.8839,0.847,0.915,0.8814,0.8475,0.9124,0.8814,0.8517,0.9096,0.8839,0.8518,0.913
lifetime,internal_sens90,707,353,0.4993,0.5035,0.9453,0.9272,0.9601,0.9393,0.9185,0.9572,0.9008,0.8669,0.932,0.8362,0.7994,0.8729,0.8457,0.8158,0.8754,0.8943,0.863,0.9252
lifetime,internal_sens93,707,353,0.4993,0.4325,0.9453,0.9272,0.9601,0.9393,0.9185,0.9572,0.932,0.9037,0.9575,0.8136,0.774,0.8531,0.8329,0.803,0.8627,0.9231,0.8941,0.951
lifetime,internal_sens95,707,353,0.4993,0.3241,0.9453,0.9272,0.9601,0.9393,0.9185,0.9572,0.9518,0.9263,0.9745,0.774,0.7288,0.8192,0.8077,0.7786,0.8411,0.9416,0.9138,0.9675
