CODE,EVENT_TYPE,CATEGORY,TERM,combined_score,combined_rank,code_tier,category_model_tier
164150006,observation,SYMPTOM_BREAST_LUMP,O/E -axillary lymphadenopathy,0.0813893272130785,587.0,LOW,STRONG
116339002,observation,SYMPTOM_BREAST_LUMP,Breast finding,0.0812755227885826,589.0,LOW,STRONG
1026441000000100,observation,LAB_LIPIDS,Serum cholesterol studies,0.0808079937386029,593.0,LOW,STRONG
4380511000001101,medication,RESPIRATORY_INHALERS,Flixonase Nasule 400microgram/unit dose nasal drops (GlaxoSmithKline UK Ltd),0.0790100145880414,607.0,LOW,LOW
251900003,observation,LIFE_SMOKE_CO,Expired carbon monoxide concentration,0.0781695513013913,612.0,LOW,LOW
251940009,observation,LAB_SPIRO_FLOW,Serial peak expiratory flow rate,0.0768731111966126,619.0,LOW,MEDIUM
587711000001100,medication,OC,Dianette tablets (Bayer Plc),0.0763378749460579,623.0,LOW,MEDIUM
170628003,observation,COMORBID_ASTHMA,Airways obstruction irreversible,0.0725830789701734,646.0,LOW,MEDIUM
18114009,observation,REPRO_PARITY,Prenatal examination and care of mother,0.0725508897423369,647.0,LOW,LOW
31387002,observation,COMORBID_ASTHMA,Exercise-induced asthma,0.0717215557136531,654.0,LOW,MEDIUM
1003431000000105,observation,LAB_LIPIDS,Plasma lipids,0.0700984765893379,663.0,LOW,STRONG
2889611000001104,medication,HRT,Estraderm MX 25 patches (Norgine Pharmaceuticals Ltd),0.0693787140484729,667.0,LOW,MEDIUM
3038811000001109,medication,HRT,Kliovance tablets (Novo Nordisk Ltd),0.0682406124959133,673.0,LOW,MEDIUM
770231000000109,observation,LIFE_PHYSACT,General practice physical activity questionnaire,0.0675690938334357,674.0,LOW,LOW
9478911000001107,medication,RESPIRATORY_INHALERS,Tiotropium bromide 18microgram inhalation powder capsules,0.0664173833578502,681.0,LOW,LOW
27431007,observation,BREAST_BENIGN,Fibrocystic disease of breast,0.0661531380386489,682.0,LOW,MEDIUM
198011000000108,observation,SYMPTOM_BREAST_LUMP,Breast lump detected by self-examination,0.0657542341987646,684.0,LOW,STRONG
3048811000001105,medication,OC,Femodene tablets (Bayer Plc),0.0626752080082198,692.0,LOW,MEDIUM
1030411000000101,observation,LAB_LIPIDS,Non high density lipoprotein cholesterol level,0.0618632710718358,699.0,LOW,STRONG
2940411000001108,medication,RESPIRATORY_INHALERS,Beconase Aqueous 50micrograms/dose nasal spray (GlaxoSmithKline UK Ltd),0.0617203639954966,700.0,LOW,LOW
22049009,observation,BREAST_BENIGN,Mammary duct ectasia,0.0614454823051854,703.0,LOW,MEDIUM
524211000001108,medication,OC,Marvelon tablets (Organon Pharma (UK) Ltd),0.0602334537567961,714.0,LOW,MEDIUM
3411311000001106,medication,OC,Cerazette 75microgram tablets (Organon Pharma (UK) Ltd),0.05851753044262,731.0,LOW,MEDIUM
170647000,observation,COMORBID_ASTHMA,Asthma prophylactic medication used,0.0584160598452689,734.0,LOW,MEDIUM
170638008,observation,COMORBID_ASTHMA,Asthma not limiting activities,0.0570777047841285,754.0,LOW,MEDIUM
7267911000001107,medication,DM_MONITORING,Contour testing strips (Ascensia Diabetes Care UK Ltd),0.0568701447798846,756.0,LOW,LOW
9479011000001103,medication,RESPIRATORY_INHALERS,Tiotropium bromide 18microgram inhalation powder capsules with device,0.0566951425201554,760.0,LOW,LOW
170635006,observation,COMORBID_ASTHMA,Asthma not disturbing sleep,0.056505226905917,761.0,LOW,MEDIUM
82231009,observation,SYMPTOM_NIPPLE,Inversion of nipple,0.0562506971214949,764.0,LOW,LOW
160618006,observation,LIFE_SMOKING,Current non-smoker,0.0561692282205104,767.0,LOW,MEDIUM
412734009,observation,HEREDITARY_BRCA,BRCA1 gene mutation positive,0.0560940173309664,768.0,LOW,ZERO
41875111000001104,medication,HRT,Estradiol 2mg / Norethisterone acetate 1mg tablets,0.0559300265839533,769.0,LOW,MEDIUM
31845005,observation,SYMPTOM_NIPPLE,Retraction of nipple,0.0557507452961277,775.0,LOW,LOW
42111000001107,medication,OC,Microgynon 30 tablets (Bayer Plc),0.0544905422654847,794.0,LOW,MEDIUM
1030801000000101,observation,LAB_FT4,Free thyroxine level,0.054413929312276,796.0,LOW,LOW
