lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
20yr,internal_free,2881,1440,0.4998,0.4208,0.969,0.9637,0.9744,0.9661,0.9594,0.9729,0.9431,0.9306,0.9549,0.8786,0.8612,0.8959,0.8858,0.8716,0.9002,0.9392,0.9266,0.9509
20yr,internal_sens90,2881,1440,0.4998,0.6026,0.969,0.9637,0.9744,0.9661,0.9594,0.9729,0.9014,0.8861,0.9167,0.9119,0.8973,0.9265,0.9109,0.8971,0.9246,0.9025,0.8883,0.9167
20yr,internal_sens93,2881,1440,0.4998,0.4782,0.969,0.9637,0.9744,0.9661,0.9594,0.9729,0.9306,0.9174,0.9431,0.8876,0.8716,0.9042,0.8921,0.878,0.9069,0.9275,0.9149,0.9401
20yr,internal_sens95,2881,1440,0.4998,0.3961,0.969,0.9637,0.9744,0.9661,0.9594,0.9729,0.95,0.9382,0.9604,0.8702,0.8522,0.8869,0.8797,0.8651,0.894,0.9457,0.9335,0.9564
