lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
10yr,internal_free,2881,1440,0.4998,0.4407,0.9687,0.9632,0.974,0.9659,0.9592,0.9723,0.9417,0.9292,0.9528,0.8744,0.8563,0.8917,0.8822,0.8676,0.8964,0.9375,0.925,0.9487
10yr,internal_sens90,2881,1440,0.4998,0.5845,0.9687,0.9632,0.974,0.9659,0.9592,0.9723,0.9021,0.8861,0.9174,0.9049,0.889,0.9202,0.9046,0.8902,0.9186,0.9024,0.8878,0.9166
10yr,internal_sens93,2881,1440,0.4998,0.4755,0.9687,0.9632,0.974,0.9659,0.9592,0.9723,0.9306,0.916,0.9431,0.8799,0.8626,0.8966,0.8857,0.8709,0.9001,0.9269,0.9129,0.9394
10yr,internal_sens95,2881,1440,0.4998,0.3921,0.9687,0.9632,0.974,0.9659,0.9592,0.9723,0.95,0.9382,0.9611,0.8633,0.8446,0.8813,0.8741,0.8593,0.889,0.9453,0.9328,0.9568
