lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
lifetime,internal_free,2881,1440,0.4998,0.3883,0.9695,0.9642,0.9747,0.9663,0.9594,0.9734,0.9542,0.9424,0.9639,0.8723,0.8556,0.8917,0.8819,0.8676,0.8979,0.9501,0.9383,0.9606
lifetime,internal_sens90,2881,1440,0.4998,0.5878,0.9695,0.9642,0.9747,0.9663,0.9594,0.9734,0.9007,0.8854,0.916,0.9098,0.8938,0.9244,0.9089,0.8946,0.9227,0.9017,0.888,0.9152
lifetime,internal_sens93,2881,1440,0.4998,0.462,0.9695,0.9642,0.9747,0.9663,0.9594,0.9734,0.9306,0.9174,0.9431,0.8855,0.8695,0.9035,0.8904,0.8764,0.906,0.9273,0.9145,0.9398
lifetime,internal_sens95,2881,1440,0.4998,0.4032,0.9695,0.9642,0.9747,0.9663,0.9594,0.9734,0.95,0.9382,0.9604,0.8751,0.8584,0.8938,0.8837,0.8698,0.8994,0.946,0.9344,0.9568
