lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
5yr,internal_free,610,305,0.5,0.4746,0.9497,0.9312,0.9644,0.9494,0.9307,0.9645,0.9213,0.8885,0.9508,0.8656,0.8295,0.9049,0.8727,0.8427,0.9049,0.9167,0.887,0.9453
5yr,internal_sens90,610,305,0.5,0.5057,0.9497,0.9312,0.9644,0.9494,0.9307,0.9645,0.9016,0.8656,0.9344,0.8689,0.8295,0.905,0.873,0.8415,0.9051,0.8983,0.8669,0.9296
5yr,internal_sens93,610,305,0.5,0.4489,0.9497,0.9312,0.9644,0.9494,0.9307,0.9645,0.9311,0.9016,0.9607,0.8557,0.8164,0.8951,0.8659,0.8353,0.9,0.9255,0.8969,0.954
5yr,internal_sens95,610,305,0.5,0.2885,0.9497,0.9312,0.9644,0.9494,0.9307,0.9645,0.9508,0.9246,0.9738,0.7934,0.7443,0.8361,0.8215,0.788,0.8534,0.9416,0.9122,0.9689
