lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
10yr,internal_free,614,307,0.5,0.5236,0.9382,0.9173,0.9576,0.9163,0.8835,0.948,0.9316,0.9023,0.9577,0.8339,0.7883,0.8762,0.8487,0.8143,0.882,0.9242,0.8941,0.9524
10yr,internal_sens90,614,307,0.5,0.5877,0.9382,0.9173,0.9576,0.9163,0.8835,0.948,0.9023,0.8664,0.9317,0.8436,0.8013,0.8827,0.8523,0.8176,0.8848,0.8962,0.8638,0.927
10yr,internal_sens93,614,307,0.5,0.5236,0.9382,0.9173,0.9576,0.9163,0.8835,0.948,0.9316,0.9023,0.9577,0.8339,0.7883,0.8762,0.8487,0.8143,0.882,0.9242,0.8941,0.9524
10yr,internal_sens95,614,307,0.5,0.4366,0.9382,0.9173,0.9576,0.9163,0.8835,0.948,0.9511,0.9251,0.9739,0.798,0.7492,0.8436,0.8249,0.7912,0.8584,0.9423,0.9142,0.9681
