lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
5yr,internal_free,614,307,0.5,0.5316,0.9364,0.916,0.9556,0.9144,0.8787,0.9459,0.9153,0.8827,0.9446,0.8339,0.7915,0.873,0.8464,0.8151,0.8789,0.9078,0.8763,0.9382
5yr,internal_sens90,614,307,0.5,0.5461,0.9364,0.916,0.9556,0.9144,0.8787,0.9459,0.9023,0.8664,0.9316,0.8371,0.7948,0.8762,0.8471,0.8147,0.8798,0.8955,0.861,0.9262
5yr,internal_sens93,614,307,0.5,0.4702,0.9364,0.916,0.9556,0.9144,0.8787,0.9459,0.9316,0.9023,0.9577,0.8046,0.759,0.8469,0.8266,0.7928,0.8598,0.9216,0.8915,0.9508
5yr,internal_sens95,614,307,0.5,0.4205,0.9364,0.916,0.9556,0.9144,0.8787,0.9459,0.9511,0.9283,0.9739,0.7818,0.7329,0.8274,0.8134,0.7816,0.8459,0.9412,0.9132,0.9675
