lookback,split,n,n_pos,prevalence,threshold,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,sensitivity,sensitivity_lo,sensitivity_hi,specificity,specificity_lo,specificity_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
5yr,internal_sens90,3428,1714,0.5,0.4214,0.8117,0.7961,0.8253,0.7671,0.7463,0.7871,0.9002,0.8862,0.9142,0.5776,0.5554,0.5998,0.6806,0.669,0.6928,0.8527,0.8345,0.8715
5yr,internal_sens93,3428,1714,0.5,0.3479,0.8117,0.7961,0.8253,0.7671,0.7463,0.7871,0.9306,0.9183,0.9428,0.5315,0.507,0.5548,0.6651,0.6532,0.6768,0.8845,0.8662,0.9031
5yr,internal_sens95,3428,1714,0.5,0.2962,0.8117,0.7961,0.8253,0.7671,0.7463,0.7871,0.9597,0.9504,0.9685,0.4767,0.4527,0.5006,0.6471,0.6371,0.6578,0.9221,0.905,0.9381
